,Rank,City,Local Cheese (1kg)
0,,Albania,5.19
1,,Argentina,10.77
2,,Australia,9.78
3,,Austria,15.90
4,,Bahrain,5.66
5,,Bangladesh,8.17
6,,Belarus,7.07
7,,Belgium,13.94
8,,Bosnia And Herzegovina,5.78
9,,Brazil,8.85
10,,Bulgaria,5.36
11,,Cambodia,15.70
12,,Canada,11.11
13,,Chile,10.59
14,,China,17.47
15,,Colombia,5.08
16,,Costa Rica,5.81
17,,Croatia,8.55
18,,Cyprus,11.44
19,,Czech Republic,8.29
20,,Denmark,11.68
21,,Dominican Republic,5.62
22,,Ecuador,4.39
23,,Egypt,4.54
24,,Estonia,8.64
25,,Finland,9.56
26,,France,16.16
27,,Georgia,4.38
28,,Germany,11.55
29,,Greece,10.06
30,,Hong Kong,13.77
31,,Hungary,6.04
32,,Iceland,12.19
33,,India,3.92
34,,Indonesia,9.79
35,,Iran,5.69
36,,Iraq,7.70
37,,Ireland,10.55
38,,Israel,11.46
39,,Italy,13.66
40,,Japan,20.70
41,,Jordan,10.50
42,,Kazakhstan,8.92
43,,Kenya,14.27
44,,Kuwait,7.77
45,,Latvia,8.08
46,,Lebanon,7.55
47,,Lithuania,7.69
48,,Luxembourg,14.81
49,,Macedonia,5.49
50,,Malaysia,6.19
51,,Malta,10.74
52,,Mauritius,13.05
53,,Mexico,5.79
54,,Morocco,9.58
55,,Nepal,6.76
56,,Netherlands,11.39
57,,New Zealand,7.95
58,,Nigeria,17.00
59,,Norway,14.32
60,,Oman,11.62
61,,Pakistan,4.37
62,,Peru,5.49
63,,Philippines,10.19
64,,Poland,6.23
65,,Portugal,8.80
66,,Puerto Rico,6.02
67,,Qatar,13.42
68,,Romania,5.68
69,,Russia,8.43
70,,Saudi Arabia,7.74
71,,Serbia,5.83
72,,Singapore,11.87
73,,Slovakia,8.02
74,,Slovenia,8.74
75,,South Africa,7.39
76,,South Korea,11.24
77,,Spain,10.34
78,,Sri Lanka,11.79
79,,Sweden,12.04
80,,Switzerland,18.51
81,,Taiwan,19.28
82,,Tanzania,8.67
83,,Thailand,14.13
84,,Tunisia,8.43
85,,Turkey,7.07
86,,Ukraine,8.05
87,,United Arab Emirates,11.67
88,,United Kingdom,9.96
89,,United States,9.79
90,,Uruguay,12.81
91,,Venezuela,11.37
92,,Vietnam,5.90
