,Rank,City,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
0,,Albania,8.16
1,,Algeria,5.93
2,,Argentina,27.43
3,,Armenia,13.46
4,,Australia,4.57
5,,Austria,2.07
6,,Azerbaijan,9.11
7,,Bahrain,5.33
8,,Bangladesh,12.53
9,,Belarus,31.76
10,,Belgium,2.52
11,,Bolivia,-
12,,Bosnia And Herzegovina,6.39
13,,Brazil,12.02
14,,Bulgaria,5.93
15,,Cambodia,12.83
16,,Canada,2.84
17,,Chile,4.75
18,,China,5.16
19,,Colombia,13.84
20,,Costa Rica,10.51
21,,Croatia,5.29
22,,Cyprus,4.20
23,,Czech Republic,2.04
24,,Denmark,2.46
25,,Dominican Republic,12.24
26,,Ecuador,11.25
27,,Egypt,11.63
28,,El Salvador,8.70
29,,Estonia,2.84
30,,Finland,1.53
31,,France,2.34
32,,Georgia,11.36
33,,Germany,1.94
34,,Greece,4.70
35,,Guatemala,13.30
36,,Hong Kong,2.28
37,,Hungary,5.52
38,,Iceland,7.19
39,,India,10.51
40,,Indonesia,10.28
41,,Iran,20.03
42,,Iraq,12.50
43,,Ireland,3.87
44,,Israel,3.08
45,,Italy,2.87
46,,Jamaica,10.41
47,,Japan,1.35
48,,Jordan,7.42
49,,Kazakhstan,17.06
50,,Kenya,17.12
51,,Kosovo (Disputed Territory),6.27
52,,Kuwait,5.03
53,,Latvia,2.96
54,,Lebanon,6.69
55,,Lithuania,2.07
56,,Luxembourg,1.96
57,,Macedonia,6.39
58,,Malaysia,4.61
59,,Malta,3.80
60,,Mauritius,9.57
61,,Mexico,10.94
62,,Moldova,14.11
63,,Montenegro,6.60
64,,Morocco,5.71
65,,Nepal,10.59
66,,Netherlands,2.68
67,,New Zealand,4.75
68,,Nigeria,19.75
69,,Norway,2.48
70,,Oman,5.08
71,,Pakistan,11.28
72,,Panama,5.65
73,,Peru,10.94
74,,Philippines,7.67
75,,Poland,3.89
76,,Portugal,2.84
77,,Puerto Rico,4.62
78,,Qatar,4.58
79,,Romania,4.76
80,,Russia,13.30
81,,Saudi Arabia,4.16
82,,Serbia,4.58
83,,Singapore,2.25
84,,Slovakia,2.12
85,,Slovenia,3.61
86,,South Africa,10.32
87,,South Korea,3.26
88,,Spain,2.41
89,,Sri Lanka,12.55
90,,Sweden,1.87
91,,Switzerland,1.52
92,,Taiwan,2.10
93,,Thailand,5.63
94,,Trinidad And Tobago,6.72
95,,Tunisia,6.85
96,,Turkey,12.61
97,,Ukraine,22.16
98,,United Arab Emirates,4.34
99,,United Kingdom,3.36
100,,United States,3.87
101,,Uruguay,8.33
102,,Venezuela,21.44
103,,Vietnam,8.75
104,,Zimbabwe,17.67
