,Rank,City,1 Pair of Jeans (Levis 501 Or Similar)
0,,Albania,43.60
1,,Algeria,46.65
2,,Argentina,105.29
3,,Armenia,50.89
4,,Australia,71.64
5,,Austria,95.39
6,,Azerbaijan,36.92
7,,Bahrain,47.53
8,,Bangladesh,33.38
9,,Belarus,83.87
10,,Belgium,89.18
11,,Bolivia,45.63
12,,Bosnia And Herzegovina,54.91
13,,Brazil,59.14
14,,Bulgaria,52.69
15,,Cambodia,18.75
16,,Canada,45.62
17,,Chile,53.10
18,,China,58.20
19,,Colombia,60.18
20,,Costa Rica,70.42
21,,Croatia,81.24
22,,Cyprus,58.96
23,,Czech Republic,67.32
24,,Denmark,103.94
25,,Dominican Republic,47.56
26,,Ecuador,58.47
27,,Egypt,45.57
28,,Estonia,79.38
29,,Finland,92.73
30,,France,96.62
31,,Georgia,52.90
32,,Germany,86.79
33,,Greece,83.55
34,,Guatemala,68.44
35,,Hong Kong,70.06
36,,Hungary,68.92
37,,Iceland,153.08
38,,India,36.84
39,,Indonesia,32.60
40,,Iran,48.32
41,,Iraq,32.72
42,,Ireland,82.47
43,,Israel,92.78
44,,Italy,87.41
45,,Jamaica,-
46,,Japan,62.88
47,,Jordan,59.82
48,,Kazakhstan,74.48
49,,Kenya,31.55
50,,Kosovo (Disputed Territory),30.09
51,,Kuwait,49.20
52,,Latvia,68.53
53,,Lebanon,90.56
54,,Lithuania,73.41
55,,Luxembourg,97.96
56,,Macedonia,47.03
57,,Malaysia,52.40
58,,Malta,82.10
59,,Mauritius,74.83
60,,Mexico,43.08
61,,Moldova,51.95
62,,Montenegro,65.31
63,,Morocco,46.67
64,,Nepal,33.72
65,,Netherlands,94.50
66,,New Zealand,73.14
67,,Nigeria,27.17
68,,Norway,103.57
69,,Oman,44.74
70,,Pakistan,22.67
71,,Panama,47.29
72,,Peru,45.80
73,,Philippines,40.41
74,,Poland,69.28
75,,Portugal,87.42
76,,Puerto Rico,42.00
77,,Qatar,58.50
78,,Romania,60.05
79,,Russia,88.01
80,,Saudi Arabia,45.36
81,,Serbia,62.29
82,,Singapore,66.65
83,,Slovakia,64.85
84,,Slovenia,88.94
85,,South Africa,54.29
86,,South Korea,72.79
87,,Spain,80.12
88,,Sri Lanka,31.07
89,,Sweden,99.67
90,,Switzerland,119.14
91,,Taiwan,78.10
92,,Tanzania,-
93,,Thailand,56.04
94,,Trinidad And Tobago,63.77
95,,Tunisia,47.31
96,,Turkey,43.53
97,,Ukraine,61.35
98,,United Arab Emirates,67.10
99,,United Kingdom,75.63
100,,United States,42.58
101,,Uruguay,91.55
102,,Venezuela,58.84
103,,Vietnam,31.13
104,,Zimbabwe,27.50
