,Rank,City,Price per Square Meter to Buy Apartment in City Centre
0,,Albania,1562.34
1,,Algeria,1552.62
2,,Argentina,2646.06
3,,Armenia,1492.69
4,,Australia,5881.94
5,,Austria,6078.48
6,,Azerbaijan,1357.07
7,,Bahamas,-
8,,Bahrain,2699.88
9,,Bangladesh,1145.53
10,,Belarus,1444.48
11,,Belgium,3526.29
12,,Belize,-
13,,Bolivia,1110.80
14,,Bosnia And Herzegovina,1491.41
15,,Brazil,2138.52
16,,Bulgaria,1412.67
17,,Cambodia,2100.00
18,,Canada,5343.61
19,,Chile,2603.56
20,,China,8887.00
21,,Colombia,1562.21
22,,Costa Rica,1815.48
23,,Croatia,2725.24
24,,Cyprus,2550.51
25,,Czech Republic,4501.61
26,,Denmark,6089.02
27,,Dominican Republic,1558.79
28,,Ecuador,1624.65
29,,Egypt,601.98
30,,El Salvador,-
31,,Estonia,2758.59
32,,Fiji,-
33,,Finland,5994.38
34,,France,8802.75
35,,Georgia,1020.52
36,,Germany,5809.48
37,,Ghana,-
38,,Greece,1681.64
39,,Guatemala,1626.08
40,,Hong Kong,29209.68
41,,Hungary,2771.19
42,,Iceland,5328.73
43,,India,1720.73
44,,Indonesia,1592.60
45,,Iran,2034.42
46,,Iraq,1312.00
47,,Ireland,5546.29
48,,Israel,8103.70
49,,Italy,4831.79
50,,Jamaica,-
51,,Japan,8950.12
52,,Jordan,1289.32
53,,Kazakhstan,1163.76
54,,Kenya,-
55,,Kosovo (Disputed Territory),1369.53
56,,Kuwait,5630.23
57,,Latvia,1941.49
58,,Lebanon,4281.21
59,,Lithuania,2363.94
60,,Luxembourg,9705.84
61,,Macedonia,1254.38
62,,Malaysia,2369.71
63,,Malta,4169.48
64,,Mauritius,-
65,,Mexico,1494.86
66,,Moldova,1023.85
67,,Montenegro,1644.35
68,,Morocco,1634.57
69,,Namibia,1222.11
70,,Nepal,1403.16
71,,Netherlands,5303.07
72,,New Zealand,5480.61
73,,Nigeria,-
74,,Norway,7412.17
75,,Oman,-
76,,Pakistan,975.12
77,,Panama,2129.17
78,,Peru,1733.66
79,,Philippines,1871.41
80,,Poland,2514.19
81,,Portugal,3644.14
82,,Puerto Rico,-
83,,Qatar,4455.43
84,,Romania,1739.00
85,,Russia,1981.00
86,,Saudi Arabia,1186.66
87,,Serbia,2279.07
88,,Singapore,16790.69
89,,Slovakia,2478.69
90,,Slovenia,3303.94
91,,South Africa,1357.30
92,,South Korea,13104.68
93,,Spain,3887.42
94,,Sri Lanka,2096.11
95,,Sweden,8136.48
96,,Switzerland,12144.55
97,,Taiwan,9022.84
98,,Tanzania,-
99,,Thailand,3926.95
100,,Trinidad And Tobago,-
101,,Tunisia,846.35
102,,Turkey,1318.71
103,,Uganda,-
104,,Ukraine,1177.07
105,,United Arab Emirates,3447.67
106,,United Kingdom,6154.41
107,,United States,2734.55
108,,Uruguay,2798.81
109,,Uzbekistan,857.14
110,,Venezuela,812.15
111,,Vietnam,2160.28
112,,Zimbabwe,-
