,Rank,City,Local Cheese (1kg)
0,,Albania,5.81
1,,Algeria,5.25
2,,Argentina,7.69
3,,Armenia,-
4,,Australia,7.20
5,,Austria,13.03
6,,Azerbaijan,4.63
7,,Bahrain,6.63
8,,Bangladesh,7.21
9,,Belarus,6.07
10,,Belgium,13.25
11,,Bolivia,3.43
12,,Bosnia And Herzegovina,6.43
13,,Brazil,6.71
14,,Brunei,-
15,,Bulgaria,6.28
16,,Cambodia,14.10
17,,Canada,9.42
18,,Chile,9.43
19,,China,13.38
20,,Colombia,3.35
21,,Costa Rica,6.27
22,,Croatia,9.06
23,,Cyprus,8.53
24,,Czech Republic,8.50
25,,Denmark,11.77
26,,Dominican Republic,6.62
27,,Ecuador,4.53
28,,Egypt,3.27
29,,El Salvador,-
30,,Estonia,8.07
31,,Ethiopia,7.39
32,,Finland,6.74
33,,France,17.76
34,,Georgia,4.64
35,,Germany,9.69
36,,Greece,8.77
37,,Guatemala,-
38,,Honduras,3.86
39,,Hong Kong,20.05
40,,Hungary,6.03
41,,Iceland,12.52
42,,India,5.30
43,,Indonesia,7.63
44,,Iran,3.97
45,,Iraq,3.18
46,,Ireland,8.70
47,,Israel,11.93
48,,Italy,14.45
49,,Jamaica,-
50,,Japan,17.95
51,,Jordan,7.05
52,,Kazakhstan,6.44
53,,Kenya,9.85
54,,Kosovo (Disputed Territory),4.77
55,,Kuwait,4.26
56,,Latvia,7.26
57,,Lebanon,11.72
58,,Lithuania,7.37
59,,Luxembourg,16.34
60,,Macedonia,5.75
61,,Malaysia,9.60
62,,Malta,9.91
63,,Mauritius,-
64,,Mexico,5.14
65,,Moldova,-
66,,Montenegro,4.80
67,,Morocco,8.14
68,,Namibia,-
69,,Nepal,7.86
70,,Netherlands,11.83
71,,New Zealand,6.65
72,,Nigeria,3.33
73,,Norway,12.28
74,,Oman,10.48
75,,Pakistan,5.69
76,,Palestinian Territory,5.18
77,,Panama,11.59
78,,Peru,7.02
79,,Philippines,4.81
80,,Poland,6.25
81,,Portugal,7.71
82,,Puerto Rico,9.08
83,,Qatar,10.46
84,,Romania,5.69
85,,Russia,7.89
86,,Saudi Arabia,4.81
87,,Serbia,5.20
88,,Singapore,12.89
89,,Slovakia,8.63
90,,Slovenia,11.42
91,,South Africa,6.90
92,,South Korea,19.82
93,,Spain,10.51
94,,Sri Lanka,-
95,,Sweden,9.05
96,,Switzerland,23.52
97,,Taiwan,16.79
98,,Thailand,18.55
99,,Trinidad And Tobago,-
100,,Tunisia,6.98
101,,Turkey,5.39
102,,Uganda,-
103,,Ukraine,6.77
104,,United Arab Emirates,8.67
105,,United Kingdom,6.94
106,,United States,10.44
107,,Uruguay,8.07
108,,Uzbekistan,3.12
109,,Venezuela,3.83
110,,Vietnam,13.14
