,Rank,City,1 Pair of Men Leather Business Shoes
0,,Albania,66.10
1,,Algeria,67.98
2,,Argentina,147.79
3,,Armenia,73.18
4,,Australia,101.34
5,,Austria,123.17
6,,Azerbaijan,70.75
7,,Bahrain,81.21
8,,Bangladesh,50.03
9,,Belarus,88.49
10,,Belgium,147.80
11,,Bolivia,70.23
12,,Bosnia And Herzegovina,86.39
13,,Brazil,68.71
14,,Bulgaria,68.31
15,,Cambodia,33.00
16,,Canada,95.18
17,,Chile,84.17
18,,China,95.00
19,,Colombia,71.96
20,,Costa Rica,92.13
21,,Croatia,86.90
22,,Cyprus,90.93
23,,Czech Republic,86.18
24,,Denmark,160.74
25,,Dominican Republic,75.02
26,,Ecuador,95.68
27,,Egypt,61.83
28,,El Salvador,81.00
29,,Estonia,99.83
30,,Finland,133.77
31,,France,125.27
32,,Georgia,90.21
33,,Germany,117.40
34,,Greece,102.38
35,,Guatemala,90.73
36,,Hong Kong,131.24
37,,Hungary,89.52
38,,Iceland,211.00
39,,India,38.62
40,,Indonesia,58.33
41,,Iran,69.67
42,,Iraq,57.34
43,,Ireland,100.73
44,,Israel,112.46
45,,Italy,136.70
46,,Jamaica,75.60
47,,Japan,108.89
48,,Jordan,79.00
49,,Kazakhstan,100.92
50,,Kenya,43.39
51,,Kosovo (Disputed Territory),54.87
52,,Kuwait,96.09
53,,Latvia,110.11
54,,Lebanon,150.44
55,,Lithuania,111.59
56,,Luxembourg,155.68
57,,Macedonia,80.44
58,,Malaysia,64.10
59,,Malta,95.49
60,,Mauritius,76.47
61,,Mexico,56.89
62,,Moldova,80.49
63,,Montenegro,85.14
64,,Morocco,68.29
65,,Nepal,38.39
66,,Netherlands,141.03
67,,New Zealand,106.06
68,,Nigeria,69.27
69,,Norway,144.40
70,,Oman,71.41
71,,Pakistan,38.97
72,,Panama,84.17
73,,Peru,69.26
74,,Philippines,63.13
75,,Poland,79.61
76,,Portugal,89.87
77,,Puerto Rico,90.45
78,,Qatar,92.77
79,,Romania,77.44
80,,Russia,98.19
81,,Saudi Arabia,75.77
82,,Serbia,83.52
83,,Singapore,95.50
84,,Slovakia,80.03
85,,Slovenia,104.07
86,,South Africa,72.58
87,,South Korea,116.65
88,,Spain,97.02
89,,Sri Lanka,30.85
90,,Sweden,156.08
91,,Switzerland,175.20
92,,Taiwan,91.16
93,,Thailand,67.37
94,,Trinidad And Tobago,85.46
95,,Tunisia,55.46
96,,Turkey,68.97
97,,Ukraine,98.94
98,,United Arab Emirates,96.26
99,,United Kingdom,93.06
100,,United States,93.75
101,,Uruguay,114.53
102,,Venezuela,99.29
103,,Vietnam,56.06
104,,Zimbabwe,67.22
