,Rank,City,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)"
0,,Algeria,36.41
1,,Argentina,35.19
2,,Australia,64.26
3,,Austria,26.08
4,,Azerbaijan,34.17
5,,Bahrain,54.39
6,,Bangladesh,38.69
7,,Belarus,20.16
8,,Belgium,45.50
9,,Bosnia And Herzegovina,17.59
10,,Brazil,36.51
11,,Bulgaria,11.25
12,,Canada,48.02
13,,Chile,38.89
14,,China,19.61
15,,Colombia,33.13
16,,Costa Rica,60.94
17,,Croatia,25.33
18,,Cyprus,41.13
19,,Czech Republic,19.88
20,,Denmark,29.99
21,,Dominican Republic,64.67
22,,Ecuador,52.49
23,,Egypt,51.86
24,,Estonia,24.24
25,,Ethiopia,-
26,,Finland,28.43
27,,France,36.91
28,,Georgia,18.00
29,,Germany,29.03
30,,Ghana,96.39
31,,Greece,24.77
32,,Hong Kong,25.48
33,,Hungary,15.38
34,,Iceland,67.94
35,,India,21.32
36,,Indonesia,37.01
37,,Iran,58.02
38,,Iraq,52.89
39,,Ireland,46.62
40,,Israel,24.61
41,,Italy,32.85
42,,Jamaica,30.51
43,,Japan,37.77
44,,Jordan,42.33
45,,Kazakhstan,27.89
46,,Kenya,41.86
47,,Kuwait,65.09
48,,Latvia,17.26
49,,Lebanon,58.22
50,,Lithuania,12.03
51,,Luxembourg,38.96
52,,Macedonia,13.11
53,,Malaysia,46.54
54,,Malta,29.22
55,,Mexico,30.29
56,,Moldova,10.88
57,,Morocco,22.81
58,,Nepal,29.85
59,,Netherlands,31.24
60,,New Zealand,72.62
61,,Nigeria,87.06
62,,Norway,55.18
63,,Oman,65.79
64,,Pakistan,28.97
65,,Panama,46.83
66,,Peru,62.60
67,,Philippines,44.70
68,,Poland,14.87
69,,Portugal,29.15
70,,Puerto Rico,51.87
71,,Qatar,92.55
72,,Romania,9.79
73,,Russia,12.91
74,,Saudi Arabia,52.38
75,,Serbia,20.24
76,,Singapore,32.18
77,,Slovakia,17.71
78,,Slovenia,31.24
79,,South Africa,64.98
80,,South Korea,24.85
81,,Spain,42.93
82,,Sri Lanka,21.70
83,,Sweden,34.97
84,,Switzerland,49.59
85,,Syria,63.25
86,,Taiwan,22.23
87,,Tanzania,59.66
88,,Thailand,21.88
89,,Trinidad And Tobago,42.45
90,,Tunisia,24.82
91,,Turkey,30.54
92,,Ukraine,8.79
93,,United Arab Emirates,72.33
94,,United Kingdom,29.25
95,,United States,46.73
96,,Uruguay,44.06
97,,Venezuela,55.14
98,,Vietnam,12.92
