,Rank,City,Taxi 1hour Waiting (Normal Tariff)
0,,Argentina,12.00
1,,Australia,47.23
2,,Austria,40.58
3,,Bangladesh,-
4,,Belgium,43.48
5,,Bosnia And Herzegovina,7.25
6,,Brazil,12.65
7,,Bulgaria,9.93
8,,Canada,31.99
9,,Chile,12.86
10,,China,4.02
11,,Colombia,8.00
12,,Costa Rica,5.00
13,,Croatia,14.50
14,,Cyprus,19.80
15,,Czech Republic,19.51
16,,Denmark,78.99
17,,Ecuador,3.00
18,,Egypt,2.40
19,,Estonia,14.49
20,,Finland,59.13
21,,France,39.57
22,,Germany,34.06
23,,Greece,15.11
24,,Hong Kong,19.28
25,,Hungary,3.79
26,,Iceland,52.16
27,,India,2.11
28,,Indonesia,7.03
29,,Iran,5.50
30,,Ireland,43.19
31,,Israel,19.19
32,,Italy,34.78
33,,Japan,98.26
34,,Jordan,4.08
35,,Latvia,12.33
36,,Lebanon,13.00
37,,Lithuania,8.31
38,,Macedonia,7.25
39,,Malaysia,5.00
40,,Malta,7.25
41,,Mexico,12.96
42,,Morocco,1.74
43,,Netherlands,77.90
44,,New Zealand,33.18
45,,Norway,87.69
46,,Pakistan,1.50
47,,Panama,-
48,,Peru,10.00
49,,Philippines,2.58
50,,Poland,10.95
51,,Portugal,24.05
52,,Puerto Rico,24.00
53,,Qatar,6.52
54,,Romania,5.05
55,,Russia,9.83
56,,Saudi Arabia,3.25
57,,Serbia,7.68
58,,Singapore,13.17
59,,Slovakia,13.04
60,,Slovenia,26.81
61,,South Africa,9.41
62,,South Korea,9.32
63,,Spain,30.51
64,,Sri Lanka,-
65,,Sweden,70.73
66,,Switzerland,58.82
67,,Syria,-
68,,Taiwan,5.96
69,,Thailand,2.32
70,,Tunisia,6.00
71,,Turkey,6.98
72,,Ukraine,5.00
73,,United Arab Emirates,15.00
74,,United Kingdom,43.93
75,,United States,26.94
76,,Uruguay,40.00
77,,Venezuela,15.00
78,,Vietnam,1.08
