,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,1.16
1,,Algeria,1.61
2,,Argentina,2.28
3,,Armenia,-
4,,Australia,4.24
5,,Austria,1.65
6,,Azerbaijan,2.30
7,,Bahrain,-
8,,Bangladesh,5.18
9,,Belarus,1.99
10,,Belgium,1.95
11,,Bolivia,2.60
12,,Bosnia And Herzegovina,1.03
13,,Brazil,2.74
14,,Brunei,-
15,,Bulgaria,1.34
16,,Cambodia,1.66
17,,Canada,2.65
18,,Chile,2.23
19,,China,1.80
20,,Colombia,1.64
21,,Costa Rica,3.33
22,,Croatia,1.80
23,,Cyprus,2.51
24,,Czech Republic,1.22
25,,Denmark,2.68
26,,Dominican Republic,3.09
27,,Ecuador,2.50
28,,Egypt,2.58
29,,El Salvador,-
30,,Estonia,1.83
31,,Ethiopia,1.05
32,,Finland,3.15
33,,France,2.67
34,,Georgia,1.23
35,,Germany,1.47
36,,Greece,2.24
37,,Guatemala,-
38,,Honduras,-
39,,Hong Kong,2.70
40,,Hungary,1.19
41,,Iceland,2.88
42,,India,3.06
43,,Indonesia,2.85
44,,Iran,1.06
45,,Iraq,1.81
46,,Ireland,3.04
47,,Israel,3.23
48,,Italy,2.14
49,,Jamaica,-
50,,Japan,3.45
51,,Jordan,5.84
52,,Kazakhstan,1.30
53,,Kenya,3.17
54,,Kosovo (Disputed Territory),1.21
55,,Kuwait,-
56,,Latvia,1.36
57,,Lebanon,2.45
58,,Lithuania,1.58
59,,Luxembourg,3.20
60,,Macedonia,1.03
61,,Malaysia,3.12
62,,Malta,2.69
63,,Mauritius,-
64,,Mexico,1.72
65,,Moldova,1.41
66,,Montenegro,1.48
67,,Morocco,2.07
68,,Namibia,-
69,,Nepal,2.96
70,,Netherlands,1.87
71,,New Zealand,3.46
72,,Nigeria,1.88
73,,Norway,4.54
74,,Oman,-
75,,Pakistan,2.93
76,,Palestinian Territory,-
77,,Panama,2.36
78,,Peru,2.56
79,,Philippines,1.58
80,,Poland,1.18
81,,Portugal,2.42
82,,Puerto Rico,3.56
83,,Qatar,8.22
84,,Romania,1.33
85,,Russia,1.74
86,,Saudi Arabia,1.42
87,,Serbia,1.11
88,,Singapore,3.95
89,,Slovakia,1.23
90,,Slovenia,1.87
91,,South Africa,1.93
92,,South Korea,2.50
93,,Spain,1.71
94,,Sri Lanka,2.41
95,,Sweden,2.08
96,,Switzerland,2.35
97,,Taiwan,2.32
98,,Thailand,2.94
99,,Trinidad And Tobago,-
100,,Tunisia,0.82
101,,Turkey,2.57
102,,Uganda,-
103,,Ukraine,1.30
104,,United Arab Emirates,4.18
105,,United Kingdom,2.38
106,,United States,2.80
107,,Uruguay,2.07
108,,Uzbekistan,-
109,,Venezuela,2.07
110,,Vietnam,1.33
