,Rank,City,Lettuce (1 head)
0,,Albania,0.60
1,,Algeria,0.49
2,,Argentina,1.21
3,,Armenia,0.42
4,,Australia,1.85
5,,Austria,1.41
6,,Azerbaijan,0.29
7,,Bahrain,2.06
8,,Bangladesh,0.40
9,,Belarus,0.88
10,,Belgium,1.11
11,,Bolivia,-
12,,Bosnia And Herzegovina,0.77
13,,Brazil,0.73
14,,Bulgaria,0.57
15,,Cambodia,0.60
16,,Canada,1.77
17,,Chile,1.06
18,,China,0.69
19,,Colombia,0.70
20,,Costa Rica,0.81
21,,Croatia,0.78
22,,Cyprus,0.43
23,,Czech Republic,0.86
24,,Denmark,1.74
25,,Dominican Republic,1.09
26,,Ecuador,0.81
27,,Egypt,0.30
28,,El Salvador,0.97
29,,Estonia,1.16
30,,Finland,1.75
31,,France,1.20
32,,Georgia,0.54
33,,Germany,1.10
34,,Greece,0.69
35,,Guatemala,0.59
36,,Hong Kong,1.18
37,,Hungary,0.82
38,,Iceland,2.77
39,,India,0.50
40,,Indonesia,0.85
41,,Iran,0.55
42,,Iraq,0.81
43,,Ireland,1.12
44,,Israel,1.34
45,,Italy,1.17
46,,Jamaica,-
47,,Japan,1.95
48,,Jordan,0.76
49,,Kazakhstan,0.95
50,,Kenya,0.64
51,,Kosovo (Disputed Territory),0.57
52,,Kuwait,2.27
53,,Latvia,1.11
54,,Lebanon,0.88
55,,Lithuania,1.21
56,,Luxembourg,1.74
57,,Macedonia,0.38
58,,Malaysia,0.97
59,,Malta,1.56
60,,Mauritius,0.71
61,,Mexico,0.66
62,,Moldova,0.69
63,,Montenegro,0.76
64,,Morocco,0.47
65,,Nepal,0.20
66,,Netherlands,1.10
67,,New Zealand,1.93
68,,Nigeria,1.33
69,,Norway,2.40
70,,Oman,1.37
71,,Pakistan,0.33
72,,Panama,1.39
73,,Peru,0.52
74,,Philippines,1.26
75,,Poland,0.70
76,,Portugal,0.99
77,,Puerto Rico,2.30
78,,Qatar,1.65
79,,Romania,0.57
80,,Russia,0.91
81,,Saudi Arabia,1.10
82,,Serbia,0.42
83,,Singapore,1.73
84,,Slovakia,1.05
85,,Slovenia,1.13
86,,South Africa,0.93
87,,South Korea,1.90
88,,Spain,1.03
89,,Sri Lanka,1.13
90,,Sweden,2.10
91,,Switzerland,2.23
92,,Taiwan,1.44
93,,Thailand,0.92
94,,Trinidad And Tobago,1.38
95,,Tunisia,0.28
96,,Turkey,0.71
97,,Ukraine,0.71
98,,United Arab Emirates,1.85
99,,United Kingdom,1.02
100,,United States,1.52
101,,Uruguay,1.15
102,,Venezuela,0.78
103,,Vietnam,0.37
104,,Zimbabwe,1.19
