,Rank,City,Loaf of Fresh White Bread (500g)
0,,Algeria,0.21
1,,Argentina,1.49
2,,Australia,2.89
3,,Austria,2.09
4,,Azerbaijan,0.43
5,,Bahrain,0.82
6,,Bangladesh,0.65
7,,Belarus,0.61
8,,Belgium,2.00
9,,Bosnia And Herzegovina,0.77
10,,Brazil,1.88
11,,Bulgaria,0.60
12,,Canada,2.66
13,,Chile,1.06
14,,China,1.68
15,,Colombia,1.19
16,,Costa Rica,1.99
17,,Croatia,1.05
18,,Cyprus,1.70
19,,Czech Republic,1.05
20,,Denmark,2.86
21,,Dominican Republic,1.52
22,,Ecuador,1.34
23,,Egypt,0.76
24,,Estonia,0.98
25,,Ethiopia,0.62
26,,Finland,2.67
27,,France,1.67
28,,Georgia,0.44
29,,Germany,1.77
30,,Ghana,2.02
31,,Greece,1.09
32,,Hong Kong,1.91
33,,Hungary,0.74
34,,Iceland,1.79
35,,India,0.42
36,,Indonesia,1.10
37,,Iran,0.50
38,,Iraq,0.99
39,,Ireland,1.89
40,,Israel,1.88
41,,Italy,2.15
42,,Jamaica,2.79
43,,Japan,1.79
44,,Jordan,0.37
45,,Kazakhstan,0.47
46,,Kenya,0.57
47,,Kuwait,1.76
48,,Latvia,1.01
49,,Lebanon,0.89
50,,Lithuania,1.16
51,,Luxembourg,1.62
52,,Macedonia,0.55
53,,Malaysia,0.96
54,,Malta,1.24
55,,Mexico,1.72
56,,Moldova,0.35
57,,Morocco,0.62
58,,Nepal,0.62
59,,Netherlands,1.63
60,,New Zealand,2.10
61,,Nigeria,1.47
62,,Norway,4.10
63,,Oman,0.95
64,,Pakistan,0.52
65,,Panama,1.60
66,,Peru,2.10
67,,Philippines,1.16
68,,Poland,0.80
69,,Portugal,1.32
70,,Puerto Rico,2.30
71,,Qatar,1.47
72,,Romania,0.67
73,,Russia,0.79
74,,Saudi Arabia,0.63
75,,Serbia,0.54
76,,Singapore,1.70
77,,Slovakia,1.05
78,,Slovenia,1.50
79,,South Africa,0.94
80,,South Korea,2.29
81,,Spain,1.18
82,,Sri Lanka,0.68
83,,Sweden,2.82
84,,Switzerland,2.78
85,,Syria,0.64
86,,Taiwan,1.57
87,,Tanzania,0.86
88,,Thailand,1.21
89,,Trinidad And Tobago,1.88
90,,Tunisia,0.19
91,,Turkey,0.59
92,,Ukraine,0.54
93,,United Arab Emirates,1.17
94,,United Kingdom,1.55
95,,United States,2.42
96,,Uruguay,2.98
97,,Venezuela,2.36
98,,Vietnam,0.75
