,Rank,City,Loaf of Fresh White Bread (500g)
0,,Albania,0.54
1,,Algeria,0.21
2,,Argentina,1.68
3,,Armenia,0.62
4,,Australia,2.63
5,,Austria,2.20
6,,Azerbaijan,0.55
7,,Bahrain,0.98
8,,Bangladesh,0.61
9,,Belarus,0.73
10,,Belgium,2.09
11,,Bosnia And Herzegovina,0.74
12,,Brazil,1.99
13,,Bulgaria,0.64
14,,Cambodia,1.62
15,,Canada,2.56
16,,Chile,1.26
17,,China,1.61
18,,Colombia,1.35
19,,Costa Rica,1.41
20,,Croatia,1.10
21,,Cyprus,1.83
22,,Czech Republic,1.08
23,,Denmark,3.25
24,,Dominican Republic,1.36
25,,Ecuador,1.39
26,,Egypt,0.76
27,,Estonia,1.11
28,,Finland,2.75
29,,France,1.82
30,,Georgia,0.40
31,,Germany,1.95
32,,Greece,1.11
33,,Hong Kong,1.96
34,,Hungary,0.80
35,,Iceland,2.40
36,,India,0.42
37,,Indonesia,1.20
38,,Iran,0.47
39,,Iraq,0.96
40,,Ireland,2.13
41,,Israel,2.00
42,,Italy,2.03
43,,Jamaica,2.34
44,,Japan,1.78
45,,Jordan,0.45
46,,Kazakhstan,0.35
47,,Kenya,0.69
48,,Kuwait,0.89
49,,Latvia,1.07
50,,Lebanon,0.81
51,,Lithuania,1.05
52,,Luxembourg,1.98
53,,Macedonia,0.55
54,,Malaysia,0.97
55,,Malta,1.23
56,,Mexico,1.76
57,,Morocco,0.50
58,,Nepal,0.51
59,,Netherlands,1.95
60,,New Zealand,2.08
61,,Nigeria,1.53
62,,Norway,3.98
63,,Oman,1.09
64,,Pakistan,0.55
65,,Panama,2.12
66,,Peru,1.81
67,,Philippines,1.16
68,,Poland,0.85
69,,Portugal,1.40
70,,Puerto Rico,2.42
71,,Qatar,1.58
72,,Romania,0.66
73,,Russia,0.75
74,,Saudi Arabia,0.61
75,,Serbia,0.56
76,,Singapore,1.68
77,,Slovakia,1.11
78,,Slovenia,1.48
79,,South Africa,1.04
80,,South Korea,2.28
81,,Spain,1.31
82,,Sri Lanka,0.59
83,,Sweden,3.07
84,,Switzerland,2.68
85,,Taiwan,1.59
86,,Thailand,1.11
87,,Trinidad And Tobago,1.78
88,,Tunisia,0.15
89,,Turkey,0.61
90,,Ukraine,0.40
91,,United Arab Emirates,1.11
92,,United Kingdom,1.71
93,,United States,2.48
94,,Uruguay,1.92
95,,Venezuela,1.96
96,,Vietnam,0.70
