,Rank,City,Price per Square Meter to Buy Apartment Outside of Centre
0,,Albania,767.39
1,,Algeria,552.71
2,,Argentina,2222.73
3,,Armenia,776.81
4,,Australia,4314.66
5,,Austria,4003.37
6,,Azerbaijan,711.37
7,,Bahrain,-
8,,Bangladesh,571.50
9,,Belarus,1145.26
10,,Belgium,2745.66
11,,Bolivia,776.56
12,,Bosnia And Herzegovina,1084.26
13,,Brazil,1175.19
14,,Brunei,-
15,,Bulgaria,1010.42
16,,Cambodia,987.50
17,,Canada,3749.01
18,,Chile,1942.89
19,,China,4421.64
20,,Colombia,1343.93
21,,Costa Rica,1494.57
22,,Croatia,2052.21
23,,Cyprus,1705.05
24,,Czech Republic,3336.40
25,,Denmark,4172.92
26,,Dominican Republic,725.07
27,,Ecuador,952.78
28,,Egypt,402.31
29,,El Salvador,998.33
30,,Estonia,1942.48
31,,Ethiopia,-
32,,Finland,3772.91
33,,France,5701.13
34,,Georgia,538.45
35,,Germany,4226.73
36,,Greece,1686.88
37,,Guatemala,956.24
38,,Honduras,-
39,,Hong Kong,19256.14
40,,Hungary,1912.52
41,,Iceland,3580.67
42,,India,786.15
43,,Indonesia,971.44
44,,Iran,1232.31
45,,Iraq,712.52
46,,Ireland,3592.97
47,,Israel,5686.63
48,,Italy,2468.18
49,,Jamaica,-
50,,Japan,5454.73
51,,Jordan,831.75
52,,Kazakhstan,737.79
53,,Kenya,1312.54
54,,Kosovo (Disputed Territory),882.88
55,,Kuwait,3232.28
56,,Latvia,1221.50
57,,Lebanon,1691.28
58,,Lithuania,1719.20
59,,Luxembourg,7559.88
60,,Macedonia,896.90
61,,Malaysia,1220.42
62,,Malta,2490.54
63,,Mauritius,-
64,,Mexico,1110.74
65,,Moldova,585.98
66,,Montenegro,1165.96
67,,Morocco,820.80
68,,Namibia,-
69,,Nepal,664.75
70,,Netherlands,3773.26
71,,New Zealand,3793.22
72,,Nigeria,-
73,,Norway,5514.34
74,,Oman,1688.83
75,,Pakistan,405.39
76,,Palestinian Territory,475.42
77,,Panama,1500.00
78,,Peru,1219.81
79,,Philippines,955.15
80,,Poland,1849.56
81,,Portugal,1928.24
82,,Puerto Rico,1209.29
83,,Qatar,2852.69
84,,Romania,1190.19
85,,Russia,1221.93
86,,Saudi Arabia,627.18
87,,Serbia,1383.00
88,,Singapore,9888.67
89,,Slovakia,1943.84
90,,Slovenia,2524.74
91,,South Africa,835.10
92,,South Korea,5847.26
93,,Spain,2377.34
94,,Sri Lanka,1136.92
95,,Sweden,4424.16
96,,Switzerland,7610.17
97,,Taiwan,5079.88
98,,Thailand,1944.85
99,,Trinidad And Tobago,-
100,,Tunisia,444.92
101,,Turkey,584.36
102,,Uganda,-
103,,Ukraine,692.31
104,,United Arab Emirates,2235.42
105,,United Kingdom,4642.40
106,,United States,2002.80
107,,Uruguay,1858.22
108,,Uzbekistan,443.09
109,,Venezuela,390.62
110,,Vietnam,1120.28
