,Rank,City,Taxi 1hour Waiting (Normal Tariff)
0,,Albania,13.94
1,,Algeria,3.86
2,,Argentina,7.21
3,,Armenia,2.49
4,,Australia,36.99
5,,Austria,32.47
6,,Azerbaijan,1.76
7,,Bahamas,-
8,,Bahrain,5.29
9,,Bangladesh,2.13
10,,Belarus,2.99
11,,Belgium,40.87
12,,Belize,-
13,,Bolivia,5.77
14,,Bosnia And Herzegovina,5.98
15,,Brazil,8.39
16,,Bulgaria,7.88
17,,Cambodia,2.75
18,,Canada,25.36
19,,Chile,12.37
20,,China,5.53
21,,Colombia,6.96
22,,Costa Rica,-
23,,Croatia,6.33
24,,Cyprus,-
25,,Czech Republic,15.82
26,,Denmark,64.44
27,,Dominican Republic,5.05
28,,Ecuador,10.00
29,,Egypt,1.40
30,,El Salvador,15.00
31,,Estonia,12.85
32,,Fiji,-
33,,Finland,54.93
34,,France,41.81
35,,Georgia,2.02
36,,Germany,35.03
37,,Ghana,-
38,,Greece,13.78
39,,Guatemala,8.03
40,,Hong Kong,13.00
41,,Hungary,16.43
42,,Iceland,75.75
43,,India,1.04
44,,Indonesia,3.02
45,,Iran,4.57
46,,Iraq,8.38
47,,Ireland,28.03
48,,Israel,25.25
49,,Italy,33.07
50,,Jamaica,-
51,,Japan,30.70
52,,Jordan,7.05
53,,Kazakhstan,3.04
54,,Kenya,2.12
55,,Kosovo (Disputed Territory),3.50
56,,Kuwait,7.44
57,,Latvia,9.34
58,,Lebanon,15.00
59,,Lithuania,9.34
60,,Luxembourg,-
61,,Macedonia,5.69
62,,Malaysia,6.28
63,,Malta,23.36
64,,Mauritius,14.47
65,,Mexico,6.02
66,,Moldova,3.54
67,,Montenegro,10.51
68,,Morocco,3.79
69,,Namibia,-
70,,Nepal,2.78
71,,Netherlands,37.95
72,,New Zealand,41.96
73,,Nigeria,4.17
74,,Norway,55.81
75,,Oman,9.09
76,,Pakistan,1.73
77,,Panama,10.00
78,,Peru,6.11
79,,Philippines,2.28
80,,Poland,9.47
81,,Portugal,17.28
82,,Puerto Rico,-
83,,Qatar,8.79
84,,Romania,4.26
85,,Russia,4.81
86,,Saudi Arabia,8.00
87,,Serbia,7.17
88,,Singapore,13.33
89,,Slovakia,17.52
90,,Slovenia,16.12
91,,South Africa,3.94
92,,South Korea,9.60
93,,Spain,23.94
94,,Sri Lanka,0.76
95,,Sweden,58.91
96,,Switzerland,70.87
97,,Taiwan,7.54
98,,Tanzania,2.96
99,,Thailand,3.74
100,,Trinidad And Tobago,0.89
101,,Tunisia,3.91
102,,Turkey,5.10
103,,Uganda,-
104,,Ukraine,2.30
105,,United Arab Emirates,5.44
106,,United Kingdom,26.52
107,,United States,27.75
108,,Uruguay,11.78
109,,Uzbekistan,2.00
110,,Venezuela,3.00
111,,Vietnam,1.32
112,,Zimbabwe,-
