,Rank,City,Price per Square Meter to Buy Apartment Outside of Centre
0,,Albania,682.62
1,,Algeria,1124.94
2,,Argentina,1831.52
3,,Armenia,536.80
4,,Australia,3990.28
5,,Austria,3592.20
6,,Azerbaijan,630.12
7,,Bahrain,-
8,,Bangladesh,654.42
9,,Belarus,995.04
10,,Belgium,2851.55
11,,Bolivia,720.89
12,,Bosnia And Herzegovina,953.82
13,,Brazil,1446.31
14,,Bulgaria,861.92
15,,Cambodia,-
16,,Canada,3044.02
17,,Chile,1862.99
18,,China,4565.15
19,,Colombia,1255.68
20,,Costa Rica,1049.95
21,,Croatia,1514.68
22,,Cyprus,1392.47
23,,Czech Republic,2440.89
24,,Denmark,3408.07
25,,Dominican Republic,589.17
26,,Ecuador,1160.00
27,,Egypt,285.59
28,,Estonia,1530.86
29,,Finland,3429.38
30,,France,4920.55
31,,Georgia,575.36
32,,Germany,3805.75
33,,Greece,1450.74
34,,Guatemala,-
35,,Hong Kong,17272.37
36,,Hungary,1396.58
37,,Iceland,4123.72
38,,India,841.07
39,,Indonesia,755.93
40,,Iran,938.91
41,,Iraq,745.36
42,,Ireland,3174.78
43,,Israel,6821.16
44,,Italy,2543.60
45,,Jamaica,-
46,,Japan,3931.17
47,,Jordan,687.35
48,,Kazakhstan,813.47
49,,Kenya,-
50,,Kosovo (Disputed Territory),744.51
51,,Kuwait,-
52,,Latvia,1076.03
53,,Lebanon,1855.53
54,,Lithuania,1480.89
55,,Luxembourg,6551.48
56,,Macedonia,876.27
57,,Malaysia,1200.37
58,,Malta,1923.14
59,,Mauritius,-
60,,Mexico,808.83
61,,Moldova,600.10
62,,Montenegro,1206.08
63,,Morocco,904.38
64,,Nepal,-
65,,Netherlands,2972.65
66,,New Zealand,3280.49
67,,Nigeria,-
68,,Norway,5232.22
69,,Oman,-
70,,Pakistan,650.86
71,,Panama,1412.73
72,,Peru,1023.92
73,,Philippines,1157.79
74,,Poland,1558.16
75,,Portugal,1495.76
76,,Puerto Rico,-
77,,Qatar,-
78,,Romania,1061.95
79,,Russia,1347.54
80,,Saudi Arabia,711.84
81,,Serbia,1158.25
82,,Singapore,9308.74
83,,Slovakia,1724.96
84,,Slovenia,1976.04
85,,South Africa,862.21
86,,South Korea,6594.43
87,,Spain,2120.31
88,,Sri Lanka,-
89,,Sweden,4929.97
90,,Switzerland,8786.59
91,,Taiwan,3556.56
92,,Tanzania,-
93,,Thailand,1789.14
94,,Trinidad And Tobago,-
95,,Tunisia,550.01
96,,Turkey,789.83
97,,Ukraine,635.54
98,,United Arab Emirates,2572.46
99,,United Kingdom,3846.73
100,,United States,1758.24
101,,Uruguay,2037.75
102,,Venezuela,-
103,,Vietnam,987.45
104,,Zimbabwe,-
