,Rank,City,Taxi Start (Normal Tariff)
0,,Argentina,1.74
1,,Australia,3.72
2,,Austria,3.77
3,,Bangladesh,-
4,,Belgium,3.48
5,,Bosnia And Herzegovina,1.45
6,,Brazil,2.53
7,,Bulgaria,0.69
8,,Canada,3.61
9,,Chile,0.53
10,,China,1.55
11,,Colombia,2.00
12,,Costa Rica,1.05
13,,Croatia,3.50
14,,Cyprus,4.96
15,,Czech Republic,1.76
16,,Denmark,6.58
17,,Ecuador,0.69
18,,Egypt,0.50
19,,Estonia,3.55
20,,Finland,10.87
21,,France,3.19
22,,Germany,3.91
23,,Greece,2.90
24,,Hong Kong,2.31
25,,Hungary,1.62
26,,Iceland,5.18
27,,India,0.67
28,,Indonesia,0.64
29,,Iran,0.38
30,,Ireland,6.59
31,,Israel,3.51
32,,Italy,4.49
33,,Japan,8.72
34,,Jordan,0.35
35,,Latvia,2.04
36,,Lebanon,5.50
37,,Lithuania,0.94
38,,Macedonia,1.09
39,,Malaysia,1.00
40,,Malta,11.59
41,,Mexico,2.53
42,,Morocco,0.32
43,,Netherlands,10.87
44,,New Zealand,2.88
45,,Norway,13.81
46,,Pakistan,0.70
47,,Panama,1.15
48,,Peru,-
49,,Philippines,0.93
50,,Poland,1.82
51,,Portugal,3.62
52,,Puerto Rico,1.75
53,,Qatar,3.00
54,,Romania,0.59
55,,Russia,3.58
56,,Saudi Arabia,2.00
57,,Serbia,1.41
58,,Singapore,2.44
59,,Slovakia,4.35
60,,Slovenia,1.30
61,,South Africa,7.35
62,,South Korea,2.14
63,,Spain,3.54
64,,Sri Lanka,-
65,,Sweden,6.34
66,,Switzerland,7.06
67,,Syria,0.10
68,,Taiwan,2.41
69,,Thailand,1.16
70,,Tunisia,0.45
71,,Turkey,1.57
72,,Ukraine,1.71
73,,United Arab Emirates,2.30
74,,United Kingdom,4.51
75,,United States,2.70
76,,Uruguay,1.70
77,,Venezuela,4.85
78,,Vietnam,0.57
