,Rank,City,Domestic Beer (0.5 liter draught)
0,,Albania,1.39
1,,Algeria,1.54
2,,Argentina,2.40
3,,Armenia,1.24
4,,Australia,6.04
5,,Austria,4.55
6,,Azerbaijan,0.88
7,,Bahamas,5.00
8,,Bahrain,10.59
9,,Bangladesh,3.55
10,,Belarus,1.53
11,,Belgium,4.67
12,,Belize,2.00
13,,Bolivia,2.17
14,,Bosnia And Herzegovina,1.49
15,,Brazil,1.88
16,,Bulgaria,1.19
17,,Cambodia,0.88
18,,Canada,4.63
19,,Chile,3.96
20,,China,1.25
21,,Colombia,1.04
22,,Costa Rica,2.65
23,,Croatia,2.37
24,,Cyprus,4.09
25,,Czech Republic,1.58
26,,Denmark,7.06
27,,Dominican Republic,2.02
28,,Ecuador,1.50
29,,Egypt,1.68
30,,El Salvador,2.00
31,,Estonia,4.09
32,,Fiji,3.40
33,,Finland,7.01
34,,France,7.01
35,,Georgia,1.03
36,,Germany,4.09
37,,Ghana,1.07
38,,Greece,4.09
39,,Guatemala,2.01
40,,Hong Kong,6.37
41,,Hungary,1.46
42,,Iceland,10.52
43,,India,1.93
44,,Indonesia,2.52
45,,Iran,0.70
46,,Iraq,2.00
47,,Ireland,5.84
48,,Israel,8.42
49,,Italy,5.84
50,,Jamaica,1.97
51,,Japan,3.67
52,,Jordan,6.34
53,,Kazakhstan,1.52
54,,Kenya,2.17
55,,Kosovo (Disputed Territory),1.75
56,,Kuwait,2.48
57,,Latvia,2.92
58,,Lebanon,3.33
59,,Lithuania,3.50
60,,Luxembourg,5.84
61,,Macedonia,1.71
62,,Malaysia,3.77
63,,Malta,2.92
64,,Mauritius,2.75
65,,Mexico,1.50
66,,Moldova,1.18
67,,Montenegro,2.34
68,,Morocco,2.79
69,,Namibia,1.89
70,,Nepal,2.67
71,,Netherlands,5.26
72,,New Zealand,5.59
73,,Nigeria,0.83
74,,Norway,10.38
75,,Oman,7.79
76,,Pakistan,2.59
77,,Panama,2.00
78,,Peru,1.83
79,,Philippines,1.05
80,,Poland,2.16
81,,Portugal,2.01
82,,Puerto Rico,1.50
83,,Qatar,10.99
84,,Romania,1.75
85,,Russia,1.60
86,,Saudi Arabia,1.33
87,,Serbia,1.53
88,,Singapore,7.09
89,,Slovakia,1.75
90,,Slovenia,2.92
91,,South Africa,2.36
92,,South Korea,3.72
93,,Spain,2.92
94,,Sri Lanka,2.06
95,,Sweden,7.36
96,,Switzerland,7.09
97,,Taiwan,1.84
98,,Tanzania,1.10
99,,Thailand,2.50
100,,Trinidad And Tobago,1.78
101,,Tunisia,1.48
102,,Turkey,3.31
103,,Uganda,0.99
104,,Ukraine,0.96
105,,United Arab Emirates,10.89
106,,United Kingdom,5.30
107,,United States,4.50
108,,Uruguay,3.22
109,,Uzbekistan,1.00
110,,Venezuela,0.53
111,,Vietnam,0.88
112,,Zimbabwe,1.50
