,Rank,City,Water (1.5 liter bottle)
0,,Albania,0.52
1,,Algeria,0.24
2,,Argentina,0.96
3,,Armenia,0.47
4,,Australia,1.48
5,,Austria,0.66
6,,Azerbaijan,0.45
7,,Bahrain,0.56
8,,Bangladesh,0.32
9,,Belarus,0.56
10,,Belgium,1.03
11,,Bolivia,1.10
12,,Bosnia And Herzegovina,0.60
13,,Brazil,0.56
14,,Bulgaria,0.57
15,,Cambodia,0.60
16,,Canada,1.51
17,,Chile,1.19
18,,China,0.58
19,,Colombia,0.71
20,,Costa Rica,2.19
21,,Croatia,1.27
22,,Cyprus,0.82
23,,Czech Republic,0.59
24,,Denmark,1.32
25,,Dominican Republic,0.66
26,,Ecuador,1.09
27,,Egypt,0.32
28,,Estonia,0.85
29,,Finland,1.47
30,,France,0.81
31,,Georgia,0.37
32,,Germany,0.56
33,,Ghana,0.61
34,,Greece,0.86
35,,Guatemala,0.99
36,,Hong Kong,1.73
37,,Hungary,0.38
38,,Iceland,1.87
39,,India,0.38
40,,Indonesia,0.47
41,,Iran,0.44
42,,Iraq,0.55
43,,Ireland,1.60
44,,Israel,1.44
45,,Italy,0.46
46,,Japan,1.11
47,,Jordan,0.54
48,,Kazakhstan,0.54
49,,Kenya,0.75
50,,Kosovo (Disputed Territory),0.38
51,,Kuwait,0.61
52,,Latvia,0.76
53,,Lebanon,1.11
54,,Lithuania,0.69
55,,Luxembourg,0.91
56,,Malaysia,0.54
57,,Malta,1.02
58,,Mauritius,1.03
59,,Mexico,0.69
60,,Moldova,0.64
61,,Montenegro,0.63
62,,Morocco,0.57
63,,Nepal,0.26
64,,Netherlands,0.92
65,,New Zealand,0.99
66,,Nigeria,0.40
67,,North Macedonia,0.43
68,,Norway,2.01
69,,Oman,0.53
70,,Pakistan,0.36
71,,Panama,1.46
72,,Peru,0.85
73,,Philippines,0.72
74,,Poland,0.50
75,,Portugal,0.52
76,,Puerto Rico,2.09
77,,Qatar,0.57
78,,Romania,0.59
79,,Russia,0.56
80,,Saudi Arabia,0.59
81,,Serbia,0.50
82,,Singapore,1.23
83,,Slovakia,0.70
84,,Slovenia,0.72
85,,South Africa,0.84
86,,South Korea,1.10
87,,Spain,0.73
88,,Sri Lanka,0.43
89,,Sweden,1.45
90,,Switzerland,1.26
91,,Syria,0.73
92,,Taiwan,1.11
93,,Tanzania,0.42
94,,Thailand,0.54
95,,Trinidad And Tobago,1.14
96,,Tunisia,0.26
97,,Turkey,0.33
98,,Uganda,0.54
99,,Ukraine,0.49
100,,United Arab Emirates,0.60
101,,United Kingdom,1.12
102,,United States,1.75
103,,Uruguay,1.17
104,,Uzbekistan,0.25
105,,Venezuela,1.47
106,,Vietnam,0.50
