,Rank,City,Domestic Beer (0.5 liter bottle)
0,,Albania,0.86
1,,Algeria,1.64
2,,Argentina,1.19
3,,Armenia,0.93
4,,Australia,3.75
5,,Austria,1.10
6,,Azerbaijan,1.05
7,,Bahrain,1.86
8,,Bangladesh,2.38
9,,Belarus,0.87
10,,Belgium,1.84
11,,Bolivia,2.02
12,,Bosnia And Herzegovina,0.68
13,,Brazil,1.02
14,,Bulgaria,0.74
15,,Cambodia,0.76
16,,Canada,2.32
17,,Chile,1.22
18,,China,0.79
19,,Colombia,0.82
20,,Costa Rica,1.85
21,,Croatia,1.46
22,,Cyprus,1.30
23,,Czech Republic,0.77
24,,Denmark,1.75
25,,Dominican Republic,1.89
26,,Ecuador,1.34
27,,Egypt,1.66
28,,Estonia,1.44
29,,Finland,2.76
30,,France,2.16
31,,Georgia,0.89
32,,Germany,1.03
33,,Ghana,1.12
34,,Greece,1.53
35,,Guatemala,1.35
36,,Hong Kong,1.82
37,,Hungary,0.88
38,,Iceland,3.22
39,,India,1.83
40,,Indonesia,2.45
41,,Iran,0.55
42,,Iraq,1.39
43,,Ireland,2.73
44,,Israel,2.59
45,,Italy,1.53
46,,Japan,2.63
47,,Jordan,5.39
48,,Kazakhstan,0.82
49,,Kenya,1.76
50,,Kosovo (Disputed Territory),0.76
51,,Kuwait,1.59
52,,Latvia,1.32
53,,Lebanon,2.23
54,,Lithuania,1.23
55,,Luxembourg,2.62
56,,Malaysia,2.34
57,,Malta,1.83
58,,Mauritius,-
59,,Mexico,1.02
60,,Moldova,0.90
61,,Montenegro,0.89
62,,Morocco,1.93
63,,Nepal,2.23
64,,Netherlands,1.29
65,,New Zealand,2.74
66,,Nigeria,0.72
67,,North Macedonia,0.80
68,,Norway,3.40
69,,Oman,4.58
70,,Pakistan,1.21
71,,Panama,1.07
72,,Peru,1.73
73,,Philippines,1.21
74,,Poland,0.84
75,,Portugal,1.18
76,,Puerto Rico,2.32
77,,Qatar,8.64
78,,Romania,0.83
79,,Russia,0.89
80,,Saudi Arabia,1.66
81,,Serbia,0.66
82,,Singapore,3.67
83,,Slovakia,0.91
84,,Slovenia,1.24
85,,South Africa,1.20
86,,South Korea,2.13
87,,Spain,1.05
88,,Sri Lanka,1.65
89,,Sweden,1.69
90,,Switzerland,2.00
91,,Syria,0.91
92,,Taiwan,1.63
93,,Tanzania,0.94
94,,Thailand,1.75
95,,Trinidad And Tobago,1.93
96,,Tunisia,0.99
97,,Turkey,1.91
98,,Uganda,0.99
99,,Ukraine,0.75
100,,United Arab Emirates,3.47
101,,United Kingdom,2.16
102,,United States,2.44
103,,Uruguay,1.63
104,,Uzbekistan,0.80
105,,Venezuela,1.18
106,,Vietnam,0.78
