,Rank,City,Domestic Beer (0.5 liter draught)
0,,Albania,1.26
1,,Algeria,1.38
2,,Argentina,2.83
3,,Armenia,1.25
4,,Australia,5.64
5,,Austria,4.03
6,,Azerbaijan,0.89
7,,Bahrain,9.28
8,,Bangladesh,3.10
9,,Belarus,1.50
10,,Belgium,4.25
11,,Bolivia,2.08
12,,Bosnia And Herzegovina,1.43
13,,Brazil,2.12
14,,Bulgaria,1.14
15,,Cambodia,1.00
16,,Canada,4.45
17,,Chile,2.26
18,,China,1.03
19,,Colombia,1.03
20,,Costa Rica,2.64
21,,Croatia,2.27
22,,Cyprus,3.16
23,,Czech Republic,1.50
24,,Denmark,6.77
25,,Dominican Republic,2.12
26,,Ecuador,1.50
27,,Egypt,1.38
28,,Estonia,3.58
29,,Finland,6.72
30,,France,6.72
31,,Georgia,1.02
32,,Germany,3.92
33,,Greece,4.48
34,,Guatemala,2.04
35,,Hong Kong,6.41
36,,Hungary,1.64
37,,Iceland,11.14
38,,India,1.86
39,,Indonesia,2.51
40,,Iran,0.72
41,,Iraq,1.72
42,,Ireland,5.60
43,,Israel,7.93
44,,Italy,5.04
45,,Jamaica,1.93
46,,Japan,4.53
47,,Jordan,5.63
48,,Kazakhstan,1.05
49,,Kenya,1.93
50,,Kosovo (Disputed Territory),1.68
51,,Kuwait,2.06
52,,Latvia,2.24
53,,Lebanon,2.00
54,,Lithuania,2.80
55,,Luxembourg,5.60
56,,Macedonia,1.64
57,,Malaysia,3.52
58,,Malta,2.80
59,,Mauritius,2.59
60,,Mexico,1.65
61,,Moldova,0.99
62,,Montenegro,2.24
63,,Morocco,2.82
64,,Nepal,2.92
65,,Netherlands,4.87
66,,New Zealand,6.13
67,,Nigeria,0.95
68,,Norway,9.41
69,,Oman,7.27
70,,Pakistan,2.39
71,,Panama,1.50
72,,Peru,1.53
73,,Philippines,1.01
74,,Poland,2.14
75,,Portugal,1.68
76,,Puerto Rico,2.00
77,,Qatar,10.93
78,,Romania,1.47
79,,Russia,1.40
80,,Saudi Arabia,1.07
81,,Serbia,1.42
82,,Singapore,7.22
83,,Slovakia,1.68
84,,Slovenia,2.80
85,,South Africa,1.93
86,,South Korea,2.89
87,,Spain,2.63
88,,Sri Lanka,2.39
89,,Sweden,6.88
90,,Switzerland,7.22
91,,Taiwan,1.66
92,,Tanzania,1.12
93,,Thailand,2.05
94,,Trinidad And Tobago,1.49
95,,Tunisia,1.44
96,,Turkey,3.39
97,,Ukraine,0.77
98,,United Arab Emirates,10.89
99,,United Kingdom,4.78
100,,United States,4.00
101,,Uruguay,3.06
102,,Venezuela,0.50
103,,Vietnam,0.88
104,,Zimbabwe,1.05
