,Rank,City,"Meal, Inexpensive Restaurant"
0,,Albania,4.56
1,,Algeria,2.50
2,,Argentina,7.38
3,,Armenia,5.20
4,,Australia,13.88
5,,Austria,12.31
6,,Azerbaijan,5.87
7,,Bahrain,6.63
8,,Bangladesh,1.78
9,,Belarus,9.79
10,,Belgium,16.79
11,,Bolivia,2.75
12,,Bosnia And Herzegovina,3.99
13,,Brazil,5.10
14,,Brunei,3.67
15,,Bulgaria,6.00
16,,Cambodia,3.00
17,,Canada,12.56
18,,Chile,7.89
19,,China,3.62
20,,Colombia,3.58
21,,Costa Rica,6.81
22,,Croatia,7.52
23,,Cyprus,13.43
24,,Czech Republic,6.48
25,,Denmark,17.95
26,,Dominican Republic,5.75
27,,Ecuador,3.00
28,,Egypt,3.59
29,,El Salvador,5.50
30,,Estonia,8.95
31,,Ethiopia,3.00
32,,Finland,13.43
33,,France,15.67
34,,Georgia,5.39
35,,Germany,11.19
36,,Greece,11.19
37,,Guatemala,6.48
38,,Honduras,5.00
39,,Hong Kong,6.38
40,,Hungary,6.87
41,,Iceland,20.22
42,,India,2.87
43,,Indonesia,2.09
44,,Iran,4.75
45,,Iraq,6.02
46,,Ireland,16.79
47,,Israel,16.54
48,,Italy,16.79
49,,Jamaica,4.06
50,,Japan,7.85
51,,Jordan,7.05
52,,Kazakhstan,5.22
53,,Kenya,4.93
54,,Kosovo (Disputed Territory),3.36
55,,Kuwait,6.57
56,,Latvia,7.84
57,,Lebanon,10.00
58,,Lithuania,7.84
59,,Luxembourg,19.03
60,,Macedonia,4.52
61,,Malaysia,2.39
62,,Malta,16.79
63,,Mauritius,6.98
64,,Mexico,5.10
65,,Moldova,5.48
66,,Montenegro,6.72
67,,Morocco,3.09
68,,Namibia,10.28
69,,Nepal,2.24
70,,Netherlands,16.79
71,,New Zealand,13.07
72,,Nigeria,1.46
73,,Norway,20.56
74,,Oman,6.50
75,,Pakistan,1.70
76,,Palestinian Territory,6.48
77,,Panama,10.00
78,,Peru,2.97
79,,Philippines,2.88
80,,Poland,6.52
81,,Portugal,8.95
82,,Puerto Rico,16.00
83,,Qatar,8.24
84,,Romania,7.06
85,,Russia,7.64
86,,Saudi Arabia,5.33
87,,Serbia,5.68
88,,Singapore,8.73
89,,Slovakia,6.72
90,,Slovenia,8.95
91,,South Africa,8.23
92,,South Korea,6.73
93,,Spain,11.19
94,,Sri Lanka,1.42
95,,Sweden,10.53
96,,Switzerland,24.99
97,,Taiwan,3.81
98,,Thailand,1.91
99,,Trinidad And Tobago,6.64
100,,Tunisia,1.92
101,,Turkey,4.28
102,,Uganda,2.66
103,,Ukraine,5.57
104,,United Arab Emirates,8.17
105,,United Kingdom,15.17
106,,United States,15.00
107,,Uruguay,9.93
108,,Uzbekistan,4.00
109,,Venezuela,5.00
110,,Vietnam,2.15
