,Rank,City,Water (0.33 liter bottle)
0,,Albania,0.42
1,,Algeria,0.23
2,,Argentina,1.42
3,,Armenia,0.36
4,,Australia,1.97
5,,Austria,1.92
6,,Azerbaijan,0.24
7,,Bahrain,0.27
8,,Bangladesh,0.20
9,,Belarus,0.65
10,,Belgium,1.94
11,,Bosnia And Herzegovina,0.66
12,,Brazil,0.76
13,,Bulgaria,0.55
14,,Cambodia,0.41
15,,Canada,1.35
16,,Chile,0.97
17,,China,0.31
18,,Colombia,0.69
19,,Costa Rica,1.35
20,,Croatia,1.28
21,,Cyprus,0.74
22,,Czech Republic,0.85
23,,Denmark,2.06
24,,Dominican Republic,0.52
25,,Ecuador,0.57
26,,Egypt,0.28
27,,Estonia,0.99
28,,Finland,1.73
29,,France,1.73
30,,Georgia,0.20
31,,Germany,1.78
32,,Greece,0.55
33,,Guatemala,0.69
34,,Hong Kong,0.85
35,,Hungary,0.57
36,,Iceland,1.64
37,,India,0.21
38,,Indonesia,0.24
39,,Iran,0.21
40,,Iraq,0.27
41,,Ireland,1.30
42,,Israel,1.67
43,,Italy,1.10
44,,Jamaica,0.73
45,,Japan,0.86
46,,Jordan,0.41
47,,Kazakhstan,0.51
48,,Kenya,0.50
49,,Kuwait,0.33
50,,Latvia,0.70
51,,Lebanon,0.44
52,,Lithuania,0.77
53,,Luxembourg,1.80
54,,Macedonia,0.61
55,,Malaysia,0.38
56,,Malta,1.03
57,,Mauritius,0.54
58,,Mexico,0.57
59,,Moldova,0.47
60,,Montenegro,1.04
61,,Morocco,0.42
62,,Nepal,0.20
63,,Netherlands,1.91
64,,New Zealand,2.03
65,,Nigeria,0.35
66,,Norway,3.29
67,,Oman,0.28
68,,Pakistan,0.24
69,,Panama,1.07
70,,Peru,0.41
71,,Philippines,0.34
72,,Poland,0.72
73,,Portugal,0.92
74,,Puerto Rico,1.13
75,,Qatar,0.31
76,,Romania,0.84
77,,Russia,0.61
78,,Saudi Arabia,0.25
79,,Serbia,0.68
80,,Singapore,0.86
81,,Slovakia,1.04
82,,Slovenia,1.46
83,,South Africa,0.70
84,,South Korea,0.73
85,,Spain,1.22
86,,Sri Lanka,0.35
87,,Sweden,1.99
88,,Switzerland,3.52
89,,Taiwan,0.62
90,,Tanzania,0.50
91,,Thailand,0.28
92,,Trinidad And Tobago,0.72
93,,Tunisia,0.26
94,,Turkey,0.30
95,,Ukraine,0.33
96,,United Arab Emirates,0.33
97,,United Kingdom,1.37
98,,United States,1.38
99,,Uruguay,1.10
100,,Venezuela,0.99
101,,Vietnam,0.27
102,,Zimbabwe,0.43
