,Rank,City,"Milk (regular), (1 liter)"
0,,Argentina,0.97
1,,Australia,1.77
2,,Austria,1.29
3,,Belgium,1.46
4,,Bosnia And Herzegovina,1.03
5,,Brazil,1.10
6,,Bulgaria,1.08
7,,Canada,1.96
8,,Chile,0.99
9,,China,1.57
10,,Colombia,1.10
11,,Croatia,0.84
12,,Czech Republic,0.78
13,,Denmark,1.10
14,,Ecuador,1.20
15,,Egypt,1.10
16,,Estonia,0.74
17,,Finland,1.15
18,,France,1.26
19,,Germany,0.88
20,,Greece,1.40
21,,Hong Kong,2.58
22,,Hungary,0.90
23,,India,0.57
24,,Indonesia,1.33
25,,Iran,0.94
26,,Ireland,1.37
27,,Israel,1.29
28,,Italy,1.48
29,,Japan,2.05
30,,Jordan,1.75
31,,Kazakhstan,1.25
32,,Lithuania,0.77
33,,Malaysia,1.49
34,,Malta,0.93
35,,Mexico,0.99
36,,Morocco,1.10
37,,Netherlands,1.11
38,,New Zealand,1.62
39,,Norway,2.10
40,,Pakistan,0.68
41,,Panama,1.19
42,,Philippines,1.52
43,,Poland,0.70
44,,Portugal,0.86
45,,Puerto Rico,1.80
46,,Qatar,0.98
47,,Romania,1.01
48,,Russia,1.08
49,,Saudi Arabia,1.09
50,,Serbia,0.96
51,,Singapore,2.34
52,,Slovakia,0.84
53,,Slovenia,1.18
54,,South Africa,1.30
55,,South Korea,1.38
56,,Spain,0.98
57,,Sweden,1.02
58,,Switzerland,1.27
59,,Syria,0.93
60,,Taiwan,2.10
61,,Thailand,1.62
62,,Turkey,1.17
63,,Ukraine,0.87
64,,United Arab Emirates,1.74
65,,United Kingdom,1.32
66,,United States,1.13
67,,Vietnam,1.50
