,Rank,City,Monthly Pass (Regular Price)
0,,Argentina,21.62
1,,Australia,84.75
2,,Austria,61.11
3,,Belgium,54.32
4,,Bosnia And Herzegovina,30.86
5,,Brazil,65.93
6,,Bulgaria,20.80
7,,Canada,76.92
8,,Chile,20.00
9,,China,22.01
10,,Colombia,96.00
11,,Croatia,61.73
12,,Czech Republic,25.69
13,,Denmark,58.18
14,,Ecuador,14.50
15,,Egypt,5.50
16,,Estonia,30.18
17,,Finland,53.09
18,,France,64.20
19,,Germany,62.96
20,,Greece,37.04
21,,Hong Kong,62.26
22,,Hungary,42.92
23,,India,10.57
24,,Indonesia,7.06
25,,Iran,49.50
26,,Ireland,111.11
27,,Israel,51.20
28,,Italy,37.04
29,,Japan,109.67
30,,Jordan,18.20
31,,Kazakhstan,6.82
32,,Lithuania,39.15
33,,Malaysia,15.34
34,,Malta,-
35,,Mexico,22.45
36,,Morocco,26.99
37,,Netherlands,86.42
38,,New Zealand,67.35
39,,Norway,88.10
40,,Pakistan,15.00
41,,Panama,12.00
42,,Philippines,21.40
43,,Poland,25.76
44,,Portugal,41.36
45,,Puerto Rico,35.00
46,,Qatar,47.77
47,,Romania,14.71
48,,Russia,26.38
49,,Saudi Arabia,10.00
50,,Serbia,22.84
51,,Singapore,35.71
52,,Slovakia,34.57
53,,Slovenia,41.98
54,,South Africa,37.95
55,,South Korea,46.32
56,,Spain,43.21
57,,Sweden,86.96
58,,Switzerland,60.34
59,,Syria,25.50
60,,Taiwan,37.60
61,,Thailand,23.13
62,,Turkey,50.96
63,,Ukraine,18.75
64,,United Arab Emirates,50.00
65,,United Kingdom,75.36
66,,United States,50.00
67,,Vietnam,8.00
