,Rank,City,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child"
0,,Albania,138.06
1,,Algeria,80.85
2,,Argentina,174.27
3,,Armenia,152.93
4,,Australia,1286.41
5,,Austria,313.73
6,,Azerbaijan,223.91
7,,Bahrain,219.13
8,,Bangladesh,45.97
9,,Belarus,481.70
10,,Belgium,729.51
11,,Bolivia,211.39
12,,Bosnia And Herzegovina,155.82
13,,Brazil,222.68
14,,Bulgaria,372.65
15,,Cambodia,-
16,,Canada,768.47
17,,Chile,332.20
18,,China,526.86
19,,Colombia,210.00
20,,Costa Rica,343.83
21,,Croatia,160.48
22,,Cyprus,357.32
23,,Czech Republic,477.69
24,,Denmark,436.58
25,,Dominican Republic,202.90
26,,Ecuador,296.59
27,,Egypt,127.95
28,,Estonia,237.46
29,,Finland,321.11
30,,France,752.75
31,,Georgia,135.38
32,,Germany,431.93
33,,Ghana,167.74
34,,Greece,385.88
35,,Guatemala,183.40
36,,Hong Kong,719.00
37,,Hungary,305.94
38,,Iceland,250.33
39,,India,67.86
40,,Indonesia,119.01
41,,Iran,111.00
42,,Iraq,132.58
43,,Ireland,1122.38
44,,Israel,877.70
45,,Italy,539.46
46,,Japan,510.65
47,,Jordan,206.05
48,,Kazakhstan,168.36
49,,Kenya,215.30
50,,Kosovo (Disputed Territory),95.25
51,,Kuwait,355.40
52,,Latvia,322.39
53,,Lebanon,396.51
54,,Lithuania,389.12
55,,Luxembourg,1238.62
56,,Malaysia,158.37
57,,Malta,450.68
58,,Mauritius,-
59,,Mexico,176.40
60,,Moldova,-
61,,Montenegro,195.95
62,,Morocco,116.37
63,,Nepal,60.97
64,,Netherlands,1668.49
65,,New Zealand,693.54
66,,Nigeria,93.82
67,,North Macedonia,150.87
68,,Norway,335.21
69,,Oman,180.43
70,,Pakistan,46.05
71,,Panama,371.43
72,,Peru,224.08
73,,Philippines,186.85
74,,Poland,260.71
75,,Portugal,416.59
76,,Puerto Rico,391.67
77,,Qatar,712.44
78,,Romania,332.28
79,,Russia,320.25
80,,Saudi Arabia,268.84
81,,Serbia,237.54
82,,Singapore,920.42
83,,Slovakia,480.14
84,,Slovenia,409.93
85,,South Africa,174.46
86,,South Korea,385.29
87,,Spain,423.03
88,,Sri Lanka,53.32
89,,Sweden,139.76
90,,Switzerland,2360.93
91,,Syria,77.90
92,,Taiwan,485.96
93,,Tanzania,-
94,,Thailand,249.80
95,,Trinidad And Tobago,173.75
96,,Tunisia,74.39
97,,Turkey,261.74
98,,Uganda,139.50
99,,Ukraine,278.74
100,,United Arab Emirates,542.55
101,,United Kingdom,1261.76
102,,United States,999.84
103,,Uruguay,309.45
104,,Uzbekistan,94.80
105,,Venezuela,66.37
106,,Vietnam,166.08
