,Rank,City,Apartment (3 bedrooms) Outside of Centre
0,,Argentina,726.67
1,,Australia,2135.18
2,,Austria,1260.87
3,,Bangladesh,205.06
4,,Belgium,1322.46
5,,Bosnia And Herzegovina,255.07
6,,Brazil,858.03
7,,Bulgaria,456.21
8,,Canada,1266.71
9,,Chile,864.17
10,,China,602.41
11,,Colombia,692.96
12,,Costa Rica,908.33
13,,Croatia,484.75
14,,Cyprus,760.87
15,,Czech Republic,731.60
16,,Denmark,1313.02
17,,Ecuador,425.00
18,,Egypt,510.16
19,,Estonia,536.23
20,,Finland,1231.88
21,,France,1213.94
22,,Germany,1031.98
23,,Greece,755.18
24,,Hong Kong,3808.76
25,,Hungary,507.83
26,,Iceland,998.05
27,,India,272.54
28,,Indonesia,189.31
29,,Iran,920.00
30,,Ireland,1314.70
31,,Israel,1130.80
32,,Italy,1251.83
33,,Japan,1617.95
34,,Jordan,478.30
35,,Latvia,463.76
36,,Lebanon,900.00
37,,Lithuania,514.26
38,,Macedonia,386.47
39,,Malaysia,336.57
40,,Malta,648.98
41,,Mexico,504.28
42,,Morocco,782.61
43,,Netherlands,1502.98
44,,New Zealand,1433.95
45,,Norway,2266.44
46,,Pakistan,215.91
47,,Panama,833.33
48,,Peru,240.00
49,,Philippines,360.60
50,,Poland,651.17
51,,Portugal,728.38
52,,Puerto Rico,978.57
53,,Qatar,2874.98
54,,Romania,438.62
55,,Russia,745.26
56,,Saudi Arabia,507.78
57,,Serbia,397.83
58,,Singapore,2728.66
59,,Slovakia,803.31
60,,Slovenia,985.51
61,,South Africa,939.14
62,,South Korea,942.58
63,,Spain,954.39
64,,Sri Lanka,374.79
65,,Sweden,1012.54
66,,Switzerland,2492.35
67,,Syria,550.00
68,,Taiwan,503.51
69,,Thailand,468.58
70,,Tunisia,481.81
71,,Turkey,465.15
72,,Ukraine,363.59
73,,United Arab Emirates,2240.00
74,,United Kingdom,1241.66
75,,United States,1201.44
76,,Uruguay,1050.00
77,,Venezuela,875.00
78,,Vietnam,666.67
