,Rank,City,1 Pair of Nike Running Shoes (Mid-Range)
0,,Albania,80.90
1,,Algeria,63.36
2,,Argentina,96.88
3,,Armenia,77.67
4,,Australia,101.10
5,,Austria,92.96
6,,Azerbaijan,82.89
7,,Bahamas,112.67
8,,Bahrain,78.24
9,,Bangladesh,55.64
10,,Belarus,90.68
11,,Belgium,102.07
12,,Belize,63.95
13,,Bolivia,72.72
14,,Bosnia And Herzegovina,77.34
15,,Brazil,87.10
16,,Bulgaria,78.32
17,,Cambodia,68.75
18,,Canada,77.48
19,,Chile,68.19
20,,China,93.57
21,,Colombia,84.67
22,,Costa Rica,109.39
23,,Croatia,85.65
24,,Cyprus,85.55
25,,Czech Republic,83.38
26,,Denmark,118.44
27,,Dominican Republic,88.45
28,,Ecuador,106.65
29,,Egypt,107.70
30,,El Salvador,78.18
31,,Estonia,82.67
32,,Fiji,62.30
33,,Finland,96.07
34,,France,99.22
35,,Georgia,80.49
36,,Germany,95.84
37,,Ghana,-
38,,Greece,88.26
39,,Guatemala,95.17
40,,Hong Kong,83.66
41,,Hungary,84.23
42,,Iceland,170.27
43,,India,52.10
44,,Indonesia,70.27
45,,Iran,132.71
46,,Iraq,56.93
47,,Ireland,91.37
48,,Israel,118.34
49,,Italy,96.24
50,,Jamaica,66.04
51,,Japan,74.23
52,,Jordan,99.58
53,,Kazakhstan,86.39
54,,Kenya,52.97
55,,Kosovo (Disputed Territory),30.36
56,,Kuwait,86.18
57,,Latvia,78.88
58,,Lebanon,107.29
59,,Lithuania,87.72
60,,Luxembourg,91.97
61,,Macedonia,78.84
62,,Malaysia,72.13
63,,Malta,87.98
64,,Mauritius,93.41
65,,Mexico,69.34
66,,Moldova,89.60
67,,Montenegro,82.07
68,,Morocco,74.23
69,,Namibia,95.50
70,,Nepal,53.34
71,,Netherlands,102.90
72,,New Zealand,97.80
73,,Nigeria,52.61
74,,Norway,116.18
75,,Oman,84.92
76,,Pakistan,51.27
77,,Panama,70.90
78,,Peru,78.34
79,,Philippines,71.47
80,,Poland,73.18
81,,Portugal,82.51
82,,Puerto Rico,80.08
83,,Qatar,93.87
84,,Romania,72.98
85,,Russia,83.16
86,,Saudi Arabia,85.13
87,,Serbia,80.85
88,,Singapore,88.21
89,,Slovakia,69.41
90,,Slovenia,89.68
91,,South Africa,92.39
92,,South Korea,88.52
93,,Spain,82.86
94,,Sri Lanka,54.68
95,,Sweden,101.22
96,,Switzerland,117.92
97,,Taiwan,87.03
98,,Tanzania,35.49
99,,Thailand,97.09
100,,Trinidad And Tobago,88.32
101,,Tunisia,80.52
102,,Turkey,64.86
103,,Uganda,39.76
104,,Ukraine,92.09
105,,United Arab Emirates,82.23
106,,United Kingdom,82.05
107,,United States,74.48
108,,Uruguay,105.56
109,,Uzbekistan,94.95
110,,Venezuela,79.88
111,,Vietnam,89.59
112,,Zimbabwe,72.78
