,Rank,City,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car)
0,,Albania,18896.56
1,,Algeria,20837.49
2,,Argentina,20506.71
3,,Armenia,-
4,,Australia,17100.95
5,,Austria,24805.54
6,,Azerbaijan,21073.08
7,,Bahrain,18415.33
8,,Bangladesh,27429.94
9,,Belarus,19910.20
10,,Belgium,24625.58
11,,Bolivia,22199.62
12,,Bosnia And Herzegovina,18725.59
13,,Brazil,23529.08
14,,Brunei,-
15,,Bulgaria,20116.66
16,,Cambodia,-
17,,Canada,17703.92
18,,Chile,15436.78
19,,China,17711.04
20,,Colombia,20618.49
21,,Costa Rica,24950.31
22,,Croatia,22304.73
23,,Cyprus,21138.09
24,,Czech Republic,19584.21
25,,Denmark,36921.05
26,,Dominican Republic,22384.91
27,,Ecuador,27416.82
28,,Egypt,22660.35
29,,El Salvador,20500.00
30,,Estonia,21941.95
31,,Ethiopia,40520.83
32,,Finland,27718.40
33,,France,27038.62
34,,Georgia,12669.92
35,,Germany,24729.79
36,,Greece,21075.90
37,,Guatemala,18370.46
38,,Honduras,20399.22
39,,Hong Kong,28513.61
40,,Hungary,20645.64
41,,Iceland,33876.48
42,,India,24183.14
43,,Indonesia,29937.86
44,,Iran,74000.22
45,,Iraq,16511.94
46,,Ireland,28955.44
47,,Israel,37235.71
48,,Italy,25160.92
49,,Jamaica,-
50,,Japan,19511.51
51,,Jordan,28262.31
52,,Kazakhstan,20347.18
53,,Kenya,16118.95
54,,Kosovo (Disputed Territory),17909.51
55,,Kuwait,17922.50
56,,Latvia,19000.54
57,,Lebanon,21017.36
58,,Lithuania,20879.57
59,,Luxembourg,-
60,,Macedonia,20400.31
61,,Malaysia,27569.91
62,,Malta,27190.74
63,,Mauritius,34074.88
64,,Mexico,16064.43
65,,Moldova,-
66,,Montenegro,19698.22
67,,Morocco,20856.05
68,,Namibia,20448.26
69,,Nepal,49107.80
70,,Netherlands,27907.30
71,,New Zealand,19912.54
72,,Nigeria,24545.45
73,,Norway,37169.80
74,,Oman,18826.95
75,,Pakistan,17936.69
76,,Palestinian Territory,30595.12
77,,Panama,18650.00
78,,Peru,18770.40
79,,Philippines,18421.32
80,,Poland,20156.27
81,,Portugal,27673.03
82,,Puerto Rico,23686.88
83,,Qatar,18263.74
84,,Romania,19434.62
85,,Russia,20146.97
86,,Saudi Arabia,17920.63
87,,Serbia,19984.00
88,,Singapore,74449.76
89,,Slovakia,18822.06
90,,Slovenia,21082.85
91,,South Africa,19826.76
92,,South Korea,24024.73
93,,Spain,23213.53
94,,Sri Lanka,37463.61
95,,Sweden,21641.56
96,,Switzerland,28749.13
97,,Taiwan,22344.12
98,,Thailand,26664.88
99,,Trinidad And Tobago,30808.68
100,,Tunisia,23052.39
101,,Turkey,22059.45
102,,Uganda,-
103,,Ukraine,20673.28
104,,United Arab Emirates,19355.59
105,,United Kingdom,24892.90
106,,United States,21049.62
107,,Uruguay,35119.04
108,,Uzbekistan,26800.00
109,,Venezuela,28125.00
110,,Vietnam,35222.10
