,Rank,City,Taxi 1km (Normal Tariff)
0,,Albania,2.14
1,,Algeria,-
2,,Argentina,2.00
3,,Armenia,0.24
4,,Australia,2.03
5,,Austria,-
6,,Azerbaijan,0.96
7,,Bahrain,0.66
8,,Bangladesh,0.38
9,,Belarus,0.50
10,,Belgium,2.59
11,,Bosnia And Herzegovina,0.69
12,,Brazil,1.12
13,,Bulgaria,0.55
14,,Cambodia,0.72
15,,Canada,1.70
16,,Chile,2.18
17,,China,0.37
18,,Colombia,0.74
19,,Costa Rica,1.16
20,,Croatia,0.90
21,,Cyprus,-
22,,Czech Republic,1.24
23,,Denmark,2.59
24,,Dominican Republic,1.50
25,,Ecuador,1.00
26,,Egypt,0.20
27,,Estonia,0.82
28,,Finland,2.11
29,,France,2.04
30,,Georgia,0.28
31,,Germany,2.31
32,,Greece,1.35
33,,Hong Kong,1.03
34,,Hungary,1.26
35,,Iceland,2.21
36,,India,0.28
37,,Indonesia,0.34
38,,Iran,0.40
39,,Iraq,1.61
40,,Ireland,1.36
41,,Israel,1.44
42,,Italy,1.54
43,,Jamaica,3.15
44,,Japan,2.67
45,,Jordan,0.71
46,,Kazakhstan,0.72
47,,Kenya,2.28
48,,Kuwait,1.77
49,,Latvia,0.83
50,,Lebanon,1.75
51,,Lithuania,0.91
52,,Luxembourg,-
53,,Macedonia,0.55
54,,Malaysia,0.46
55,,Malta,-
56,,Mexico,0.62
57,,Morocco,0.67
58,,Nepal,0.44
59,,Netherlands,2.83
60,,New Zealand,2.29
61,,Nigeria,1.23
62,,Norway,2.50
63,,Oman,0.65
64,,Pakistan,0.41
65,,Panama,1.25
66,,Peru,1.44
67,,Philippines,0.30
68,,Poland,0.79
69,,Portugal,0.76
70,,Puerto Rico,-
71,,Qatar,0.52
72,,Romania,0.53
73,,Russia,0.50
74,,Saudi Arabia,1.33
75,,Serbia,0.76
76,,Singapore,0.44
77,,Slovakia,0.95
78,,Slovenia,1.36
79,,South Africa,0.94
80,,South Korea,1.17
81,,Spain,1.43
82,,Sri Lanka,0.35
83,,Sweden,2.09
84,,Switzerland,4.23
85,,Taiwan,0.67
86,,Thailand,0.24
87,,Trinidad And Tobago,-
88,,Tunisia,0.61
89,,Turkey,1.05
90,,Ukraine,0.30
91,,United Arab Emirates,0.50
92,,United Kingdom,2.08
93,,United States,1.55
94,,Uruguay,2.11
95,,Venezuela,1.33
96,,Vietnam,0.58
