,Rank,City,"International Primary School, Yearly for 1 Child"
0,,Albania,3397.76
1,,Algeria,2305.79
2,,Argentina,3692.68
3,,Armenia,5850.18
4,,Australia,11004.76
5,,Austria,7465.15
6,,Azerbaijan,5974.58
7,,Bahrain,4316.10
8,,Bangladesh,2031.65
9,,Belarus,5537.48
10,,Belgium,22450.49
11,,Bolivia,4999.55
12,,Bosnia And Herzegovina,2572.93
13,,Brazil,4922.16
14,,Bulgaria,5129.64
15,,Cambodia,-
16,,Canada,11296.72
17,,Chile,5848.66
18,,China,19885.47
19,,Colombia,6098.35
20,,Costa Rica,6613.89
21,,Croatia,6214.31
22,,Cyprus,6803.55
23,,Czech Republic,10408.55
24,,Denmark,8863.99
25,,Dominican Republic,-
26,,Ecuador,8237.50
27,,Egypt,3525.96
28,,Estonia,8981.18
29,,Finland,8564.60
30,,France,12445.36
31,,Georgia,3437.07
32,,Germany,13111.34
33,,Ghana,4137.86
34,,Greece,7411.86
35,,Guatemala,3267.69
36,,Hong Kong,16649.35
37,,Hungary,7847.14
38,,Iceland,-
39,,India,1935.97
40,,Indonesia,7557.72
41,,Iran,1906.39
42,,Iraq,2157.26
43,,Ireland,12766.64
44,,Israel,13197.68
45,,Italy,12035.91
46,,Japan,17198.87
47,,Jordan,5017.90
48,,Kazakhstan,5379.00
49,,Kenya,11185.92
50,,Kosovo (Disputed Territory),2365.91
51,,Kuwait,7002.64
52,,Latvia,11326.49
53,,Lebanon,6065.02
54,,Lithuania,9602.82
55,,Luxembourg,16422.21
56,,Malaysia,7453.69
57,,Malta,6262.71
58,,Mauritius,-
59,,Mexico,3899.76
60,,Moldova,-
61,,Montenegro,-
62,,Morocco,2845.83
63,,Nepal,2061.50
64,,Netherlands,7992.75
65,,New Zealand,9543.92
66,,Nigeria,2192.32
67,,North Macedonia,2501.34
68,,Norway,5212.55
69,,Oman,6137.81
70,,Pakistan,1249.01
71,,Panama,10806.44
72,,Peru,6787.91
73,,Philippines,5371.83
74,,Poland,5164.35
75,,Portugal,9060.71
76,,Puerto Rico,8996.67
77,,Qatar,9463.69
78,,Romania,7312.85
79,,Russia,6738.49
80,,Saudi Arabia,5740.95
81,,Serbia,6265.49
82,,Singapore,20834.83
83,,Slovakia,8523.47
84,,Slovenia,8906.96
85,,South Africa,4139.19
86,,South Korea,20620.57
87,,Spain,8406.56
88,,Sri Lanka,1190.92
89,,Sweden,2077.03
90,,Switzerland,27594.94
91,,Syria,-
92,,Taiwan,13844.11
93,,Tanzania,5595.03
94,,Thailand,13626.56
95,,Trinidad And Tobago,4436.16
96,,Tunisia,2282.35
97,,Turkey,5898.59
98,,Uganda,-
99,,Ukraine,4909.77
100,,United Arab Emirates,10050.67
101,,United Kingdom,17169.35
102,,United States,16616.55
103,,Uruguay,5277.44
104,,Uzbekistan,7040.00
105,,Venezuela,5755.56
106,,Vietnam,14242.29
