,Rank,City,Eggs (regular) (12)
0,,Albania,1.55
1,,Algeria,1.37
2,,Argentina,1.95
3,,Armenia,1.57
4,,Australia,3.32
5,,Austria,3.38
6,,Azerbaijan,1.17
7,,Bahrain,2.53
8,,Bangladesh,1.20
9,,Belarus,1.15
10,,Belgium,2.66
11,,Bolivia,1.36
12,,Bosnia And Herzegovina,1.61
13,,Brazil,1.77
14,,Bulgaria,1.57
15,,Cambodia,1.55
16,,Canada,2.39
17,,Chile,2.60
18,,China,1.77
19,,Colombia,1.56
20,,Costa Rica,2.31
21,,Croatia,2.17
22,,Cyprus,2.61
23,,Czech Republic,1.66
24,,Denmark,3.65
25,,Dominican Republic,1.82
26,,Ecuador,1.84
27,,Egypt,0.97
28,,Estonia,1.43
29,,Finland,1.96
30,,France,3.05
31,,Georgia,1.42
32,,Germany,2.25
33,,Greece,3.20
34,,Guatemala,1.80
35,,Hong Kong,3.22
36,,Hungary,1.67
37,,Iceland,6.27
38,,India,0.94
39,,Indonesia,1.38
40,,Iran,1.57
41,,Iraq,1.68
42,,Ireland,2.99
43,,Israel,3.52
44,,Italy,2.88
45,,Jamaica,-
46,,Japan,2.07
47,,Jordan,1.96
48,,Kazakhstan,1.13
49,,Kenya,1.40
50,,Kosovo (Disputed Territory),0.97
51,,Kuwait,1.85
52,,Latvia,1.67
53,,Lebanon,3.21
54,,Lithuania,1.71
55,,Luxembourg,4.21
56,,Macedonia,1.52
57,,Malaysia,1.25
58,,Malta,2.36
59,,Mauritius,2.05
60,,Mexico,1.34
61,,Moldova,1.33
62,,Montenegro,1.65
63,,Morocco,1.27
64,,Nepal,1.63
65,,Netherlands,2.28
66,,New Zealand,3.39
67,,Nigeria,2.10
68,,Norway,4.19
69,,Oman,2.34
70,,Pakistan,1.05
71,,Panama,1.92
72,,Peru,1.71
73,,Philippines,1.54
74,,Poland,1.82
75,,Portugal,1.77
76,,Puerto Rico,2.46
77,,Qatar,3.28
78,,Romania,1.96
79,,Russia,1.27
80,,Saudi Arabia,1.93
81,,Serbia,1.43
82,,Singapore,2.15
83,,Slovakia,1.87
84,,Slovenia,2.24
85,,South Africa,1.87
86,,South Korea,3.37
87,,Spain,1.93
88,,Sri Lanka,1.28
89,,Sweden,3.10
90,,Switzerland,6.00
91,,Taiwan,2.08
92,,Tanzania,2.00
93,,Thailand,1.61
94,,Trinidad And Tobago,3.34
95,,Tunisia,0.89
96,,Turkey,1.95
97,,Ukraine,0.98
98,,United Arab Emirates,2.63
99,,United Kingdom,2.40
100,,United States,2.31
101,,Uruguay,2.53
102,,Venezuela,1.12
103,,Vietnam,1.31
104,,Zimbabwe,2.00
