,Rank,City,"Cinema, International Release, 1 Seat"
0,,Albania,5.59
1,,Algeria,4.67
2,,Argentina,5.86
3,,Armenia,5.16
4,,Australia,12.10
5,,Austria,12.25
6,,Azerbaijan,4.41
7,,Bahrain,9.30
8,,Bangladesh,5.89
9,,Belarus,3.73
10,,Belgium,12.25
11,,Bolivia,6.51
12,,Bosnia And Herzegovina,3.98
13,,Brazil,5.61
14,,Bulgaria,6.81
15,,Cambodia,5.00
16,,Canada,10.38
17,,Chile,6.26
18,,China,7.01
19,,Colombia,3.78
20,,Costa Rica,7.02
21,,Croatia,5.86
22,,Cyprus,10.02
23,,Czech Republic,8.28
24,,Denmark,17.18
25,,Dominican Republic,5.33
26,,Ecuador,6.00
27,,Egypt,5.38
28,,Estonia,8.91
29,,Finland,16.70
30,,France,11.13
31,,Georgia,4.71
32,,Germany,13.36
33,,Ghana,6.90
34,,Greece,8.91
35,,Guatemala,5.85
36,,Hong Kong,12.90
37,,Hungary,6.10
38,,Iceland,11.76
39,,India,3.98
40,,Indonesia,3.45
41,,Iran,3.80
42,,Iraq,8.37
43,,Ireland,13.36
44,,Israel,11.85
45,,Italy,10.02
46,,Japan,16.74
47,,Jordan,11.28
48,,Kazakhstan,4.24
49,,Kenya,7.51
50,,Kosovo (Disputed Territory),3.34
51,,Kuwait,11.36
52,,Latvia,8.85
53,,Lebanon,10.00
54,,Lithuania,7.79
55,,Luxembourg,13.36
56,,Malaysia,3.70
57,,Malta,10.02
58,,Mauritius,6.27
59,,Mexico,3.63
60,,Moldova,6.00
61,,Montenegro,5.57
62,,Morocco,6.13
63,,Nepal,3.30
64,,Netherlands,13.36
65,,New Zealand,11.23
66,,Nigeria,6.46
67,,North Macedonia,4.51
68,,Norway,14.48
69,,Oman,9.10
70,,Pakistan,4.30
71,,Panama,6.50
72,,Peru,5.81
73,,Philippines,5.96
74,,Poland,6.27
75,,Portugal,7.79
76,,Puerto Rico,8.00
77,,Qatar,9.54
78,,Romania,6.42
79,,Russia,4.99
80,,Saudi Arabia,15.98
81,,Serbia,4.72
82,,Singapore,8.52
83,,Slovakia,7.79
84,,Slovenia,7.24
85,,South Africa,5.45
86,,South Korea,8.56
87,,Spain,8.91
88,,Sri Lanka,4.02
89,,Sweden,13.85
90,,Switzerland,19.78
91,,Syria,3.93
92,,Taiwan,10.02
93,,Tanzania,4.32
94,,Thailand,6.93
95,,Trinidad And Tobago,7.39
96,,Tunisia,4.52
97,,Turkey,3.67
98,,Uganda,5.29
99,,Ukraine,3.72
100,,United Arab Emirates,11.71
101,,United Kingdom,12.38
102,,United States,12.00
103,,Uruguay,7.77
104,,Uzbekistan,4.00
105,,Venezuela,4.00
106,,Vietnam,4.30
