,Rank,City,Water (0.33 liter bottle)
0,,Albania,0.54
1,,Algeria,0.20
2,,Argentina,0.93
3,,Armenia,0.33
4,,Australia,1.88
5,,Austria,2.33
6,,Azerbaijan,0.23
7,,Bahrain,0.30
8,,Bangladesh,0.18
9,,Belarus,0.50
10,,Belgium,2.48
11,,Bolivia,0.72
12,,Bosnia And Herzegovina,0.80
13,,Brazil,0.70
14,,Brunei,-
15,,Bulgaria,0.63
16,,Cambodia,0.34
17,,Canada,1.33
18,,Chile,0.98
19,,China,0.32
20,,Colombia,0.58
21,,Costa Rica,1.31
22,,Croatia,1.41
23,,Cyprus,0.68
24,,Czech Republic,0.94
25,,Denmark,2.68
26,,Dominican Republic,0.64
27,,Ecuador,0.51
28,,Egypt,0.19
29,,El Salvador,-
30,,Estonia,1.53
31,,Ethiopia,0.32
32,,Finland,1.87
33,,France,1.91
34,,Georgia,0.23
35,,Germany,2.22
36,,Greece,0.56
37,,Guatemala,0.95
38,,Honduras,0.77
39,,Hong Kong,0.98
40,,Hungary,0.85
41,,Iceland,2.24
42,,India,0.20
43,,Indonesia,0.29
44,,Iran,0.28
45,,Iraq,0.23
46,,Ireland,1.59
47,,Israel,1.80
48,,Italy,1.12
49,,Jamaica,0.78
50,,Japan,0.99
51,,Jordan,0.37
52,,Kazakhstan,0.35
53,,Kenya,0.56
54,,Kosovo (Disputed Territory),0.50
55,,Kuwait,0.52
56,,Latvia,0.80
57,,Lebanon,0.48
58,,Lithuania,1.34
59,,Luxembourg,2.95
60,,Macedonia,0.81
61,,Malaysia,0.32
62,,Malta,1.32
63,,Mauritius,1.01
64,,Mexico,0.54
65,,Moldova,0.47
66,,Montenegro,0.88
67,,Morocco,0.33
68,,Namibia,0.81
69,,Nepal,0.23
70,,Netherlands,2.12
71,,New Zealand,2.01
72,,Nigeria,0.24
73,,Norway,3.00
74,,Oman,0.33
75,,Pakistan,0.22
76,,Palestinian Territory,0.53
77,,Panama,1.00
78,,Peru,0.50
79,,Philippines,0.37
80,,Poland,0.90
81,,Portugal,1.08
82,,Puerto Rico,1.02
83,,Qatar,0.32
84,,Romania,1.12
85,,Russia,0.48
86,,Saudi Arabia,0.23
87,,Serbia,0.94
88,,Singapore,1.02
89,,Slovakia,1.33
90,,Slovenia,1.64
91,,South Africa,0.73
92,,South Korea,0.77
93,,Spain,1.30
94,,Sri Lanka,0.25
95,,Sweden,1.90
96,,Switzerland,3.45
97,,Taiwan,0.61
98,,Thailand,0.32
99,,Trinidad And Tobago,0.74
100,,Tunisia,0.22
101,,Turkey,0.24
102,,Uganda,0.27
103,,Ukraine,0.37
104,,United Arab Emirates,0.38
105,,United Kingdom,1.22
106,,United States,1.53
107,,Uruguay,1.16
108,,Uzbekistan,0.22
109,,Venezuela,0.86
110,,Vietnam,0.29
