,Rank,City,"Milk (regular), (1 liter)"
0,,Albania,1.15
1,,Algeria,0.53
2,,Argentina,1.27
3,,Armenia,1.05
4,,Australia,1.37
5,,Austria,1.39
6,,Azerbaijan,1.63
7,,Bahrain,1.54
8,,Bangladesh,0.81
9,,Belarus,0.99
10,,Belgium,1.18
11,,Bosnia And Herzegovina,1.00
12,,Brazil,1.19
13,,Bulgaria,1.34
14,,Cambodia,2.06
15,,Canada,1.86
16,,Chile,1.24
17,,China,2.10
18,,Colombia,1.20
19,,Costa Rica,1.42
20,,Croatia,1.12
21,,Cyprus,1.86
22,,Czech Republic,0.96
23,,Denmark,1.24
24,,Dominican Republic,1.26
25,,Ecuador,1.05
26,,Egypt,1.11
27,,Estonia,0.91
28,,Finland,1.41
29,,France,1.25
30,,Georgia,1.39
31,,Germany,1.08
32,,Greece,1.64
33,,Hong Kong,2.65
34,,Hungary,1.00
35,,Iceland,1.18
36,,India,0.69
37,,Indonesia,1.38
38,,Iran,0.83
39,,Iraq,1.44
40,,Ireland,1.48
41,,Israel,1.77
42,,Italy,1.67
43,,Jamaica,2.45
44,,Japan,1.82
45,,Jordan,1.59
46,,Kazakhstan,1.16
47,,Kenya,1.09
48,,Kuwait,1.66
49,,Latvia,1.17
50,,Lebanon,1.69
51,,Lithuania,1.14
52,,Luxembourg,1.39
53,,Macedonia,1.09
54,,Malaysia,1.87
55,,Malta,1.15
56,,Mexico,1.14
57,,Morocco,0.85
58,,Nepal,0.59
59,,Netherlands,1.18
60,,New Zealand,2.13
61,,Nigeria,2.01
62,,Norway,2.52
63,,Oman,1.61
64,,Pakistan,0.83
65,,Panama,1.41
66,,Peru,1.49
67,,Philippines,1.76
68,,Poland,0.85
69,,Portugal,0.86
70,,Puerto Rico,2.06
71,,Qatar,2.01
72,,Romania,1.27
73,,Russia,1.30
74,,Saudi Arabia,1.13
75,,Serbia,1.08
76,,Singapore,2.22
77,,Slovakia,1.03
78,,Slovenia,1.29
79,,South Africa,1.11
80,,South Korea,2.31
81,,Spain,1.10
82,,Sri Lanka,1.20
83,,Sweden,1.45
84,,Switzerland,1.68
85,,Taiwan,2.61
86,,Thailand,1.38
87,,Trinidad And Tobago,2.39
88,,Tunisia,0.69
89,,Turkey,1.08
90,,Ukraine,0.84
91,,United Arab Emirates,1.54
92,,United Kingdom,1.57
93,,United States,1.02
94,,Uruguay,0.83
95,,Venezuela,2.68
96,,Vietnam,1.53
