,Rank,City,"Meal, Inexpensive Restaurant"
0,,Albania,4.92
1,,Algeria,2.33
2,,Argentina,6.79
3,,Armenia,6.71
4,,Australia,13.45
5,,Austria,11.41
6,,Azerbaijan,5.29
7,,Bahrain,7.97
8,,Bangladesh,1.88
9,,Belarus,8.29
10,,Belgium,16.70
11,,Bolivia,2.89
12,,Bosnia And Herzegovina,4.55
13,,Brazil,3.74
14,,Bulgaria,6.81
15,,Cambodia,3.00
16,,Canada,13.11
17,,Chile,7.21
18,,China,3.50
19,,Colombia,3.24
20,,Costa Rica,7.02
21,,Croatia,8.91
22,,Cyprus,12.25
23,,Czech Republic,6.21
24,,Denmark,19.42
25,,Dominican Republic,4.60
26,,Ecuador,3.00
27,,Egypt,4.12
28,,Estonia,8.91
29,,Finland,13.36
30,,France,15.59
31,,Georgia,6.28
32,,Germany,11.13
33,,Ghana,4.31
34,,Greece,11.13
35,,Guatemala,5.20
36,,Hong Kong,7.74
37,,Hungary,6.42
38,,Iceland,19.93
39,,India,2.66
40,,Indonesia,2.07
41,,Iran,4.75
42,,Iraq,5.02
43,,Ireland,16.70
44,,Israel,17.13
45,,Italy,16.70
46,,Japan,7.90
47,,Jordan,7.05
48,,Kazakhstan,6.06
49,,Kenya,4.22
50,,Kosovo (Disputed Territory),3.34
51,,Kuwait,6.49
52,,Latvia,8.91
53,,Lebanon,13.22
54,,Lithuania,7.79
55,,Luxembourg,18.93
56,,Malaysia,2.32
57,,Malta,16.70
58,,Mauritius,5.51
59,,Mexico,5.44
60,,Moldova,5.00
61,,Montenegro,5.57
62,,Morocco,3.06
63,,Nepal,2.07
64,,Netherlands,16.70
65,,New Zealand,11.23
66,,Nigeria,1.29
67,,North Macedonia,4.51
68,,Norway,18.62
69,,Oman,5.72
70,,Pakistan,1.84
71,,Panama,9.00
72,,Peru,3.49
73,,Philippines,2.98
74,,Poland,6.27
75,,Portugal,8.91
76,,Puerto Rico,10.00
77,,Qatar,8.18
78,,Romania,6.87
79,,Russia,7.13
80,,Saudi Arabia,5.33
81,,Serbia,5.66
82,,Singapore,10.66
83,,Slovakia,6.68
84,,Slovenia,11.13
85,,South Africa,6.88
86,,South Korea,6.52
87,,Spain,13.36
88,,Sri Lanka,1.61
89,,Sweden,12.25
90,,Switzerland,26.02
91,,Syria,6.00
92,,Taiwan,3.34
93,,Tanzania,3.02
94,,Thailand,2.21
95,,Trinidad And Tobago,7.39
96,,Tunisia,2.09
97,,Turkey,4.04
98,,Uganda,2.11
99,,Ukraine,5.58
100,,United Arab Emirates,8.17
101,,United Kingdom,17.34
102,,United States,15.00
103,,Uruguay,10.97
104,,Uzbekistan,4.00
105,,Venezuela,10.00
106,,Vietnam,2.15
