,Rank,City,Coke/Pepsi (0.33 liter bottle)
0,,Algeria,0.64
1,,Argentina,1.49
2,,Australia,2.95
3,,Austria,2.67
4,,Azerbaijan,0.86
5,,Bahrain,0.61
6,,Bangladesh,0.36
7,,Belarus,1.02
8,,Belgium,2.43
9,,Bosnia And Herzegovina,1.60
10,,Brazil,1.44
11,,Bulgaria,1.03
12,,Canada,1.80
13,,Chile,1.25
14,,China,0.58
15,,Colombia,0.98
16,,Costa Rica,1.69
17,,Croatia,2.19
18,,Cyprus,1.69
19,,Czech Republic,1.43
20,,Denmark,3.74
21,,Dominican Republic,0.89
22,,Ecuador,0.78
23,,Egypt,0.44
24,,Estonia,1.40
25,,Ethiopia,0.71
26,,Finland,2.90
27,,France,3.08
28,,Georgia,0.57
29,,Germany,2.53
30,,Ghana,1.35
31,,Greece,1.92
32,,Hong Kong,0.94
33,,Hungary,1.13
34,,Iceland,2.01
35,,India,0.38
36,,Indonesia,0.64
37,,Iran,0.50
38,,Iraq,0.42
39,,Ireland,1.91
40,,Israel,2.24
41,,Italy,2.55
42,,Jamaica,1.11
43,,Japan,1.40
44,,Jordan,0.55
45,,Kazakhstan,0.70
46,,Kenya,0.63
47,,Kuwait,1.36
48,,Latvia,1.17
49,,Lebanon,0.74
50,,Lithuania,1.16
51,,Luxembourg,2.54
52,,Macedonia,1.36
53,,Malaysia,0.69
54,,Malta,1.54
55,,Mexico,0.75
56,,Moldova,0.98
57,,Morocco,0.57
58,,Nepal,0.45
59,,Netherlands,2.64
60,,New Zealand,2.39
61,,Nigeria,0.61
62,,Norway,4.28
63,,Oman,0.42
64,,Pakistan,0.36
65,,Panama,1.17
66,,Peru,1.03
67,,Philippines,0.49
68,,Poland,1.10
69,,Portugal,1.49
70,,Puerto Rico,1.09
71,,Qatar,0.47
72,,Romania,1.20
73,,Russia,1.23
74,,Saudi Arabia,0.41
75,,Serbia,1.57
76,,Singapore,1.31
77,,Slovakia,1.44
78,,Slovenia,2.49
79,,South Africa,0.92
80,,South Korea,1.39
81,,Spain,2.18
82,,Sri Lanka,0.66
83,,Sweden,2.65
84,,Switzerland,4.14
85,,Syria,0.56
86,,Taiwan,0.91
87,,Tanzania,0.51
88,,Thailand,0.65
89,,Trinidad And Tobago,0.89
90,,Tunisia,0.55
91,,Turkey,1.17
92,,Ukraine,0.86
93,,United Arab Emirates,0.44
94,,United Kingdom,1.68
95,,United States,1.60
96,,Uruguay,1.73
97,,Venezuela,2.68
98,,Vietnam,0.57
