,Rank,City,Banana (1kg)
0,,Albania,1.49
1,,Algeria,1.81
2,,Argentina,1.42
3,,Armenia,1.38
4,,Australia,2.20
5,,Austria,1.89
6,,Azerbaijan,1.37
7,,Bahrain,1.80
8,,Bangladesh,1.03
9,,Belarus,1.20
10,,Belgium,1.96
11,,Bolivia,1.44
12,,Bosnia And Herzegovina,1.26
13,,Brazil,0.84
14,,Bulgaria,1.52
15,,Cambodia,1.42
16,,Canada,1.27
17,,Chile,1.33
18,,China,1.25
19,,Colombia,0.82
20,,Costa Rica,1.46
21,,Croatia,1.54
22,,Cyprus,1.62
23,,Czech Republic,1.33
24,,Denmark,2.72
25,,Dominican Republic,0.75
26,,Ecuador,1.01
27,,Egypt,0.81
28,,Estonia,1.25
29,,Finland,1.77
30,,France,2.23
31,,Georgia,1.23
32,,Germany,1.78
33,,Ghana,1.89
34,,Greece,1.68
35,,Guatemala,1.50
36,,Hong Kong,2.28
37,,Hungary,1.44
38,,Iceland,2.62
39,,India,0.68
40,,Indonesia,1.44
41,,Iran,2.06
42,,Iraq,1.15
43,,Ireland,2.06
44,,Israel,2.46
45,,Italy,1.86
46,,Japan,2.82
47,,Jordan,1.86
48,,Kazakhstan,1.41
49,,Kenya,0.94
50,,Kosovo (Disputed Territory),0.99
51,,Kuwait,1.56
52,,Latvia,1.37
53,,Lebanon,2.83
54,,Lithuania,1.11
55,,Luxembourg,2.00
56,,Malaysia,1.36
57,,Malta,2.07
58,,Mauritius,1.60
59,,Mexico,0.93
60,,Moldova,1.19
61,,Montenegro,1.14
62,,Morocco,1.04
63,,Nepal,0.98
64,,Netherlands,1.71
65,,New Zealand,1.93
66,,Nigeria,1.37
67,,North Macedonia,1.08
68,,Norway,2.32
69,,Oman,1.53
70,,Pakistan,0.56
71,,Panama,1.73
72,,Peru,1.09
73,,Philippines,1.71
74,,Poland,1.24
75,,Portugal,1.21
76,,Puerto Rico,1.87
77,,Qatar,1.51
78,,Romania,1.30
79,,Russia,0.97
80,,Saudi Arabia,1.47
81,,Serbia,1.17
82,,Singapore,2.39
83,,Slovakia,1.70
84,,Slovenia,1.41
85,,South Africa,1.24
86,,South Korea,3.19
87,,Spain,1.83
88,,Sri Lanka,0.93
89,,Sweden,2.40
90,,Switzerland,2.78
91,,Syria,2.49
92,,Taiwan,1.90
93,,Tanzania,1.04
94,,Thailand,1.17
95,,Trinidad And Tobago,1.87
96,,Tunisia,1.74
97,,Turkey,1.98
98,,Uganda,1.45
99,,Ukraine,1.03
100,,United Arab Emirates,1.66
101,,United Kingdom,1.34
102,,United States,1.54
103,,Uruguay,1.96
104,,Uzbekistan,1.99
105,,Venezuela,0.95
106,,Vietnam,1.02
