,Rank,City,McMeal at McDonalds (or Equivalent Combo Meal)
0,,Algeria,3.66
1,,Argentina,9.58
2,,Australia,8.61
3,,Austria,8.44
4,,Azerbaijan,8.92
5,,Bahrain,5.41
6,,Bangladesh,5.24
7,,Belarus,6.28
8,,Belgium,9.09
9,,Bosnia And Herzegovina,5.33
10,,Brazil,8.41
11,,Bulgaria,4.67
12,,Canada,7.69
13,,Chile,6.99
14,,China,4.08
15,,Colombia,6.84
16,,Costa Rica,8.05
17,,Croatia,6.06
18,,Cyprus,7.79
19,,Czech Republic,6.08
20,,Denmark,11.32
21,,Dominican Republic,7.39
22,,Ecuador,5.75
23,,Egypt,5.09
24,,Estonia,6.82
25,,Ethiopia,6.00
26,,Finland,9.09
27,,France,9.74
28,,Georgia,7.25
29,,Germany,8.44
30,,Ghana,7.73
31,,Greece,7.79
32,,Hong Kong,3.87
33,,Hungary,6.13
34,,Iceland,10.64
35,,India,3.54
36,,Indonesia,3.58
37,,Iran,4.10
38,,Iraq,10.00
39,,Ireland,9.32
40,,Israel,12.23
41,,Italy,9.74
42,,Jamaica,6.16
43,,Japan,6.47
44,,Jordan,6.34
45,,Kazakhstan,7.84
46,,Kenya,6.88
47,,Kuwait,6.03
48,,Latvia,6.47
49,,Lebanon,8.00
50,,Lithuania,5.77
51,,Luxembourg,12.34
52,,Macedonia,3.78
53,,Malaysia,3.62
54,,Malta,10.03
55,,Mexico,5.46
56,,Moldova,5.71
57,,Morocco,6.00
58,,Nepal,6.69
59,,Netherlands,9.09
60,,New Zealand,8.00
61,,Nigeria,9.62
62,,Norway,16.18
63,,Oman,6.58
64,,Pakistan,5.14
65,,Panama,5.03
66,,Peru,5.60
67,,Philippines,2.98
68,,Poland,4.86
69,,Portugal,7.27
70,,Puerto Rico,6.00
71,,Qatar,5.49
72,,Romania,5.34
73,,Russia,7.84
74,,Saudi Arabia,5.33
75,,Serbia,5.20
76,,Singapore,5.56
77,,Slovakia,6.49
78,,Slovenia,6.49
79,,South Africa,4.47
80,,South Korea,5.42
81,,Spain,8.57
82,,Sri Lanka,4.75
83,,Sweden,9.82
84,,Switzerland,13.54
85,,Syria,5.83
86,,Taiwan,4.10
87,,Tanzania,8.46
88,,Thailand,5.06
89,,Trinidad And Tobago,6.34
90,,Tunisia,4.91
91,,Turkey,6.35
92,,Ukraine,4.98
93,,United Arab Emirates,5.45
94,,United Kingdom,7.58
95,,United States,6.47
96,,Uruguay,9.63
97,,Venezuela,15.08
98,,Vietnam,4.53
