,Rank,City,Gasoline (1 liter)
0,,Argentina,1.17
1,,Australia,1.51
2,,Austria,1.98
3,,Bangladesh,1.10
4,,Belgium,2.26
5,,Bosnia And Herzegovina,1.65
6,,Brazil,1.73
7,,Bulgaria,1.79
8,,Canada,1.30
9,,Chile,1.59
10,,China,1.14
11,,Colombia,1.11
12,,Costa Rica,1.34
13,,Croatia,1.90
14,,Cyprus,1.80
15,,Czech Republic,2.04
16,,Denmark,2.29
17,,Ecuador,0.36
18,,Egypt,0.34
19,,Estonia,1.78
20,,Finland,2.26
21,,France,2.11
22,,Germany,2.20
23,,Greece,2.41
24,,Hong Kong,2.17
25,,Hungary,2.08
26,,Iceland,2.20
27,,India,1.50
28,,Indonesia,0.58
29,,Iran,0.66
30,,Ireland,2.15
31,,Israel,2.13
32,,Italy,2.24
33,,Japan,1.78
34,,Jordan,1.00
35,,Latvia,1.88
36,,Lebanon,1.20
37,,Lithuania,1.93
38,,Macedonia,1.86
39,,Malaysia,0.70
40,,Malta,2.03
41,,Mexico,0.84
42,,Morocco,1.59
43,,Netherlands,2.37
44,,New Zealand,1.73
45,,Norway,2.59
46,,Pakistan,1.01
47,,Panama,0.99
48,,Peru,1.23
49,,Philippines,1.20
50,,Poland,1.93
51,,Portugal,2.25
52,,Puerto Rico,0.92
53,,Qatar,0.27
54,,Romania,1.87
55,,Russia,0.97
56,,Saudi Arabia,0.13
57,,Serbia,1.87
58,,Singapore,1.65
59,,Slovakia,2.10
60,,Slovenia,1.89
61,,South Africa,1.43
62,,South Korea,1.80
63,,Spain,1.96
64,,Sri Lanka,1.13
65,,Sweden,2.24
66,,Switzerland,2.09
67,,Syria,0.96
68,,Taiwan,1.12
69,,Thailand,1.24
70,,Tunisia,1.06
71,,Turkey,2.65
72,,Ukraine,1.29
73,,United Arab Emirates,0.49
74,,United Kingdom,2.20
75,,United States,0.97
76,,Uruguay,1.69
77,,Venezuela,0.14
78,,Vietnam,1.00
