,Rank,City,1 Pair of Nike Running Shoes (Mid-Range)
0,,Albania,62.20
1,,Argentina,125.68
2,,Australia,144.27
3,,Austria,98.52
4,,Bahrain,94.05
5,,Bangladesh,55.09
6,,Belarus,136.00
7,,Belgium,119.63
8,,Bosnia And Herzegovina,86.13
9,,Brazil,156.64
10,,Bulgaria,79.95
11,,Cambodia,20.00
12,,Canada,96.52
13,,Chile,84.61
14,,China,119.52
15,,Colombia,113.98
16,,Costa Rica,92.33
17,,Croatia,93.93
18,,Cyprus,90.28
19,,Czech Republic,85.53
20,,Denmark,133.08
21,,Dominican Republic,78.45
22,,Ecuador,113.00
23,,Egypt,90.52
24,,Estonia,86.42
25,,Finland,113.32
26,,France,106.46
27,,Georgia,135.00
28,,Germany,107.48
29,,Greece,114.60
30,,Hong Kong,80.70
31,,Hungary,80.50
32,,Iceland,115.23
33,,India,54.80
34,,Indonesia,65.64
35,,Iran,118.85
36,,Iraq,80.00
37,,Ireland,96.63
38,,Israel,117.26
39,,Italy,110.69
40,,Japan,104.35
41,,Jordan,106.93
42,,Kazakhstan,115.64
43,,Kenya,52.32
44,,Kuwait,102.90
45,,Latvia,87.08
46,,Lebanon,114.70
47,,Lithuania,93.88
48,,Luxembourg,104.94
49,,Macedonia,107.98
50,,Malaysia,82.34
51,,Malta,94.65
52,,Mauritius,85.38
53,,Mexico,77.29
54,,Morocco,101.30
55,,Nepal,65.73
56,,Netherlands,102.16
57,,New Zealand,122.77
58,,Nigeria,112.50
59,,Norway,151.75
60,,Oman,80.00
61,,Pakistan,56.28
62,,Peru,87.80
63,,Philippines,76.34
64,,Poland,77.40
65,,Portugal,93.86
66,,Puerto Rico,76.29
67,,Qatar,96.15
68,,Romania,76.51
69,,Russia,99.67
70,,Saudi Arabia,87.00
71,,Serbia,101.06
72,,Singapore,92.11
73,,Slovakia,83.37
74,,Slovenia,92.93
75,,South Africa,86.49
76,,South Korea,82.30
77,,Spain,94.06
78,,Sri Lanka,69.17
79,,Sweden,122.24
80,,Switzerland,133.96
81,,Taiwan,75.43
82,,Tanzania,113.88
83,,Thailand,80.49
84,,Tunisia,91.67
85,,Turkey,74.30
86,,Ukraine,100.77
87,,United Arab Emirates,81.16
88,,United Kingdom,88.16
89,,United States,74.50
90,,Uruguay,132.74
91,,Venezuela,151.06
92,,Vietnam,57.27
