,Rank,City,"Meal, Inexpensive Restaurant"
0,,Albania,6.33
1,,Algeria,4.42
2,,Argentina,10.00
3,,Armenia,7.26
4,,Australia,15.74
5,,Austria,10.89
6,,Azerbaijan,10.20
7,,Bahrain,5.31
8,,Bangladesh,1.94
9,,Belarus,10.00
10,,Belgium,20.41
11,,Bosnia And Herzegovina,4.16
12,,Brazil,8.03
13,,Bulgaria,5.57
14,,Cambodia,3.00
15,,Canada,12.90
16,,Chile,6.37
17,,China,3.20
18,,Colombia,4.21
19,,Costa Rica,7.23
20,,Croatia,7.18
21,,Cyprus,13.61
22,,Czech Republic,4.95
23,,Denmark,18.23
24,,Dominican Republic,5.00
25,,Ecuador,3.00
26,,Egypt,4.20
27,,Estonia,8.84
28,,Finland,14.22
29,,France,16.33
30,,Georgia,6.50
31,,Germany,10.89
32,,Greece,13.61
33,,Hong Kong,6.45
34,,Hungary,6.74
35,,Iceland,15.91
36,,India,1.69
37,,Indonesia,2.13
38,,Iran,4.75
39,,Iraq,4.96
40,,Ireland,17.69
41,,Israel,14.38
42,,Italy,19.73
43,,Jamaica,5.40
44,,Japan,7.84
45,,Jordan,5.64
46,,Kazakhstan,10.90
47,,Kenya,4.56
48,,Kuwait,5.32
49,,Latvia,7.96
50,,Lebanon,10.00
51,,Lithuania,5.92
52,,Luxembourg,19.05
53,,Macedonia,4.42
54,,Malaysia,2.17
55,,Malta,13.61
56,,Mexico,4.66
57,,Morocco,4.25
58,,Nepal,1.58
59,,Netherlands,20.41
60,,New Zealand,14.11
61,,Nigeria,6.14
62,,Norway,25.02
63,,Oman,3.90
64,,Pakistan,2.03
65,,Panama,5.00
66,,Peru,3.61
67,,Philippines,2.28
68,,Poland,5.92
69,,Portugal,8.84
70,,Puerto Rico,10.00
71,,Qatar,7.83
72,,Romania,6.19
73,,Russia,11.95
74,,Saudi Arabia,4.00
75,,Serbia,6.80
76,,Singapore,7.96
77,,Slovakia,6.80
78,,Slovenia,9.53
79,,South Africa,7.56
80,,South Korea,6.59
81,,Spain,13.61
82,,Sri Lanka,1.53
83,,Sweden,11.96
84,,Switzerland,22.28
85,,Taiwan,3.33
86,,Thailand,1.67
87,,Trinidad And Tobago,6.20
88,,Tunisia,3.68
89,,Turkey,5.72
90,,Ukraine,5.09
91,,United Arab Emirates,6.81
92,,United Kingdom,16.75
93,,United States,10.00
94,,Uruguay,12.85
95,,Venezuela,7.00
96,,Vietnam,2.01
