,Rank,City,Taxi Start (Normal Tariff)
0,,Albania,2.47
1,,Argentina,1.71
2,,Australia,3.69
3,,Austria,3.70
4,,Bahrain,3.00
5,,Bangladesh,1.39
6,,Belarus,2.00
7,,Belgium,3.46
8,,Bosnia And Herzegovina,0.94
9,,Brazil,2.02
10,,Bulgaria,0.44
11,,Cambodia,0.50
12,,Canada,3.50
13,,Chile,0.48
14,,China,1.57
15,,Colombia,1.96
16,,Costa Rica,1.30
17,,Croatia,2.46
18,,Cyprus,4.22
19,,Czech Republic,1.92
20,,Denmark,6.32
21,,Dominican Republic,3.92
22,,Ecuador,1.00
23,,Egypt,0.42
24,,Estonia,3.09
25,,Finland,8.64
26,,France,2.96
27,,Georgia,0.61
28,,Germany,3.70
29,,Greece,3.70
30,,Hong Kong,2.58
31,,Hungary,1.28
32,,Iceland,4.85
33,,India,0.62
34,,Indonesia,0.64
35,,Iran,0.33
36,,Iraq,1.50
37,,Ireland,5.22
38,,Israel,3.03
39,,Italy,6.17
40,,Japan,9.04
41,,Jordan,0.42
42,,Kazakhstan,2.02
43,,Kenya,2.36
44,,Kuwait,1.80
45,,Latvia,2.66
46,,Lebanon,5.83
47,,Lithuania,0.72
48,,Luxembourg,6.17
49,,Macedonia,0.86
50,,Malaysia,0.94
51,,Malta,9.88
52,,Mauritius,1.05
53,,Mexico,1.74
54,,Morocco,0.33
55,,Nepal,0.14
56,,Netherlands,6.79
57,,New Zealand,2.26
58,,Nigeria,3.50
59,,Norway,11.46
60,,Oman,1.02
61,,Pakistan,1.08
62,,Peru,1.40
63,,Philippines,0.92
64,,Poland,1.69
65,,Portugal,3.09
66,,Puerto Rico,3.00
67,,Qatar,1.24
68,,Romania,0.49
69,,Russia,4.19
70,,Saudi Arabia,2.50
71,,Serbia,1.47
72,,Singapore,2.48
73,,Slovakia,3.70
74,,Slovenia,1.23
75,,South Africa,2.35
76,,South Korea,1.95
77,,Spain,3.70
78,,Sri Lanka,0.43
79,,Sweden,6.19
80,,Switzerland,6.19
81,,Taiwan,2.35
82,,Tanzania,2.49
83,,Thailand,1.10
84,,Tunisia,0.25
85,,Turkey,1.45
86,,Ukraine,2.50
87,,United Arab Emirates,0.98
88,,United Kingdom,4.15
89,,United States,3.00
90,,Uruguay,1.90
91,,Venezuela,9.66
92,,Vietnam,0.55
