,Rank,City,Tennis Court Rent (1 Hour on Weekend)
0,,Albania,6.98
1,,Argentina,17.73
2,,Australia,16.71
3,,Austria,26.23
4,,Bahrain,28.00
5,,Bangladesh,6.82
6,,Belarus,16.28
7,,Belgium,16.15
8,,Bosnia And Herzegovina,11.42
9,,Brazil,29.43
10,,Bulgaria,10.06
11,,Cambodia,7.67
12,,Canada,17.48
13,,Chile,13.19
14,,China,13.97
15,,Colombia,19.22
16,,Costa Rica,10.00
17,,Croatia,8.48
18,,Cyprus,40.74
19,,Czech Republic,9.36
20,,Denmark,25.51
21,,Dominican Republic,6.54
22,,Ecuador,3.50
23,,Egypt,12.03
24,,Estonia,11.73
25,,Finland,24.69
26,,France,18.69
27,,Georgia,-
28,,Germany,19.67
29,,Greece,19.10
30,,Hong Kong,7.76
31,,Hungary,14.07
32,,Iceland,-
33,,India,4.71
34,,Indonesia,5.28
35,,Iran,15.60
36,,Iraq,14.50
37,,Ireland,15.70
38,,Israel,12.18
39,,Italy,19.55
40,,Japan,17.19
41,,Jordan,13.94
42,,Kazakhstan,23.98
43,,Kenya,10.81
44,,Kuwait,18.17
45,,Latvia,24.22
46,,Lebanon,14.15
47,,Lithuania,17.16
48,,Luxembourg,21.60
49,,Macedonia,7.65
50,,Malaysia,6.29
51,,Malta,27.78
52,,Mauritius,5.23
53,,Mexico,14.94
54,,Morocco,5.04
55,,Nepal,6.08
56,,Netherlands,17.29
57,,New Zealand,11.90
58,,Nigeria,10.00
59,,Norway,40.13
60,,Oman,26.32
61,,Pakistan,6.98
62,,Peru,8.38
63,,Philippines,5.79
64,,Poland,11.57
65,,Portugal,13.13
66,,Puerto Rico,21.67
67,,Qatar,19.23
68,,Romania,10.33
69,,Russia,20.49
70,,Saudi Arabia,20.62
71,,Serbia,7.73
72,,Singapore,8.80
73,,Slovakia,10.43
74,,Slovenia,16.46
75,,South Africa,6.80
76,,South Korea,33.95
77,,Spain,15.94
78,,Sri Lanka,2.94
79,,Sweden,26.48
80,,Switzerland,29.01
81,,Taiwan,-
82,,Tanzania,7.62
83,,Thailand,4.60
84,,Tunisia,7.50
85,,Turkey,16.29
86,,Ukraine,6.42
87,,United Arab Emirates,22.60
88,,United Kingdom,14.36
89,,United States,20.06
90,,Uruguay,34.59
91,,Venezuela,19.32
92,,Vietnam,3.95
