,Rank,City,Imported Beer (0.33 liter bottle)
0,,Argentina,1.64
1,,Australia,4.15
2,,Austria,1.28
3,,Belgium,1.54
4,,Bosnia And Herzegovina,1.36
5,,Brazil,2.33
6,,Bulgaria,1.01
7,,Canada,3.70
8,,Chile,1.21
9,,China,2.30
10,,Colombia,1.97
11,,Croatia,1.67
12,,Czech Republic,1.14
13,,Denmark,2.73
14,,Ecuador,2.00
15,,Egypt,2.50
16,,Estonia,1.22
17,,Finland,3.70
18,,France,3.73
19,,Germany,1.39
20,,Greece,2.00
21,,Hong Kong,1.28
22,,Hungary,1.18
23,,India,2.41
24,,Indonesia,2.72
25,,Iran,1.10
26,,Ireland,2.58
27,,Israel,2.33
28,,Italy,2.28
29,,Japan,3.95
30,,Jordan,4.08
31,,Kazakhstan,1.75
32,,Lithuania,1.07
33,,Malaysia,2.52
34,,Malta,2.14
35,,Mexico,1.56
36,,Morocco,1.48
37,,Netherlands,1.35
38,,New Zealand,3.08
39,,Norway,4.12
40,,Pakistan,0.60
41,,Panama,0.65
42,,Philippines,1.29
43,,Poland,1.10
44,,Portugal,1.21
45,,Puerto Rico,2.67
46,,Qatar,1.50
47,,Romania,1.13
48,,Russia,1.60
49,,Saudi Arabia,0.95
50,,Serbia,1.40
51,,Singapore,4.29
52,,Slovakia,0.99
53,,Slovenia,1.26
54,,South Africa,1.70
55,,South Korea,3.55
56,,Spain,1.62
57,,Sweden,2.14
58,,Switzerland,2.16
59,,Syria,1.83
60,,Taiwan,1.25
61,,Thailand,1.97
62,,Turkey,2.52
63,,Ukraine,1.25
64,,United Arab Emirates,-
65,,United Kingdom,2.67
66,,United States,3.36
67,,Vietnam,1.00
