,Rank,City,Oranges (1kg)
0,,Albania,1.11
1,,Algeria,1.43
2,,Argentina,1.18
3,,Armenia,1.20
4,,Australia,2.78
5,,Austria,2.95
6,,Azerbaijan,1.22
7,,Bahamas,-
8,,Bahrain,1.91
9,,Bangladesh,1.89
10,,Belarus,1.56
11,,Belgium,2.50
12,,Belize,-
13,,Bolivia,-
14,,Bosnia And Herzegovina,1.23
15,,Brazil,0.95
16,,Bulgaria,1.21
17,,Cambodia,2.28
18,,Canada,3.10
19,,Chile,1.41
20,,China,1.75
21,,Colombia,0.97
22,,Costa Rica,2.42
23,,Croatia,1.51
24,,Cyprus,1.27
25,,Czech Republic,1.62
26,,Denmark,3.08
27,,Dominican Republic,1.14
28,,Ecuador,1.19
29,,Egypt,0.37
30,,El Salvador,-
31,,Estonia,1.46
32,,Fiji,-
33,,Finland,2.09
34,,France,2.70
35,,Georgia,1.18
36,,Germany,2.70
37,,Ghana,-
38,,Greece,1.13
39,,Guatemala,1.51
40,,Hong Kong,2.84
41,,Hungary,1.37
42,,Iceland,2.94
43,,India,1.03
44,,Indonesia,2.01
45,,Iran,1.17
46,,Iraq,1.05
47,,Ireland,2.29
48,,Israel,1.64
49,,Italy,1.92
50,,Jamaica,-
51,,Japan,5.47
52,,Jordan,1.39
53,,Kazakhstan,1.79
54,,Kenya,1.65
55,,Kosovo (Disputed Territory),-
56,,Kuwait,1.49
57,,Latvia,1.79
58,,Lebanon,1.61
59,,Lithuania,1.40
60,,Luxembourg,2.59
61,,Macedonia,0.91
62,,Malaysia,2.29
63,,Malta,2.56
64,,Mauritius,-
65,,Mexico,0.86
66,,Moldova,1.42
67,,Montenegro,1.14
68,,Morocco,0.58
69,,Namibia,-
70,,Nepal,1.04
71,,Netherlands,2.27
72,,New Zealand,2.63
73,,Nigeria,1.46
74,,Norway,2.99
75,,Oman,1.84
76,,Pakistan,0.87
77,,Panama,-
78,,Peru,1.14
79,,Philippines,2.07
80,,Poland,1.28
81,,Portugal,1.40
82,,Puerto Rico,3.40
83,,Qatar,1.57
84,,Romania,1.20
85,,Russia,1.32
86,,Saudi Arabia,1.47
87,,Serbia,1.16
88,,Singapore,2.61
89,,Slovakia,1.70
90,,Slovenia,1.54
91,,South Africa,1.59
92,,South Korea,5.31
93,,Spain,1.50
94,,Sri Lanka,2.53
95,,Sweden,2.57
96,,Switzerland,3.92
97,,Taiwan,2.24
98,,Tanzania,-
99,,Thailand,1.97
100,,Trinidad And Tobago,-
101,,Tunisia,0.75
102,,Turkey,0.84
103,,Uganda,-
104,,Ukraine,1.22
105,,United Arab Emirates,1.85
106,,United Kingdom,2.21
107,,United States,3.96
108,,Uruguay,1.57
109,,Uzbekistan,2.50
110,,Venezuela,1.06
111,,Vietnam,1.67
112,,Zimbabwe,2.41
