,Rank,City,McMeal at McDonalds (or Equivalent Combo Meal)
0,,Albania,3.69
1,,Algeria,3.87
2,,Argentina,8.72
3,,Armenia,4.18
4,,Australia,7.45
5,,Austria,7.95
6,,Azerbaijan,4.65
7,,Bahrain,5.57
8,,Bangladesh,5.72
9,,Belarus,5.00
10,,Belgium,9.08
11,,Bolivia,6.11
12,,Bosnia And Herzegovina,4.65
13,,Brazil,7.20
14,,Bulgaria,4.64
15,,Cambodia,4.10
16,,Canada,7.03
17,,Chile,5.87
18,,China,4.57
19,,Colombia,5.08
20,,Costa Rica,7.16
21,,Croatia,5.29
22,,Cyprus,6.81
23,,Czech Republic,5.25
24,,Denmark,10.69
25,,Dominican Republic,7.62
26,,Ecuador,6.00
27,,Egypt,5.07
28,,El Salvador,6.00
29,,Estonia,6.07
30,,Finland,7.95
31,,France,9.08
32,,Georgia,5.19
33,,Germany,7.95
34,,Greece,6.81
35,,Guatemala,5.89
36,,Hong Kong,4.51
37,,Hungary,5.48
38,,Iceland,12.64
39,,India,3.30
40,,Indonesia,3.41
41,,Iran,5.00
42,,Iraq,8.00
43,,Ireland,8.51
44,,Israel,12.51
45,,Italy,8.51
46,,Jamaica,4.92
47,,Japan,6.33
48,,Jordan,7.05
49,,Kazakhstan,4.50
50,,Kenya,5.93
51,,Kosovo (Disputed Territory),2.84
52,,Kuwait,6.64
53,,Latvia,5.68
54,,Lebanon,8.00
55,,Lithuania,5.68
56,,Luxembourg,10.22
57,,Macedonia,2.77
58,,Malaysia,2.96
59,,Malta,7.95
60,,Mauritius,5.66
61,,Mexico,4.31
62,,Moldova,3.94
63,,Montenegro,3.41
64,,Morocco,5.70
65,,Nepal,5.85
66,,Netherlands,7.95
67,,New Zealand,6.97
68,,Nigeria,7.54
69,,Norway,12.31
70,,Oman,5.97
71,,Pakistan,5.26
72,,Panama,6.00
73,,Peru,4.53
74,,Philippines,2.61
75,,Poland,4.44
76,,Portugal,6.24
77,,Puerto Rico,7.00
78,,Qatar,5.77
79,,Romania,4.53
80,,Russia,4.61
81,,Saudi Arabia,5.33
82,,Serbia,4.60
83,,Singapore,5.76
84,,Slovakia,5.68
85,,Slovenia,5.68
86,,South Africa,3.49
87,,South Korea,5.20
88,,Spain,7.95
89,,Sri Lanka,4.80
90,,Sweden,8.60
91,,Switzerland,14.48
92,,Taiwan,3.73
93,,Thailand,4.68
94,,Trinidad And Tobago,6.03
95,,Tunisia,3.76
96,,Turkey,5.17
97,,Ukraine,2.60
98,,United Arab Emirates,6.81
99,,United Kingdom,7.28
100,,United States,7.00
101,,Uruguay,8.81
102,,Venezuela,5.00
103,,Vietnam,4.47
104,,Zimbabwe,5.00
