,Rank,City,Coke/Pepsi (0.33 liter bottle)
0,,Albania,1.04
1,,Algeria,0.56
2,,Argentina,1.70
3,,Armenia,0.68
4,,Australia,2.41
5,,Austria,3.01
6,,Azerbaijan,0.36
7,,Bahrain,0.44
8,,Bangladesh,0.30
9,,Belarus,0.70
10,,Belgium,2.46
11,,Bolivia,0.87
12,,Bosnia And Herzegovina,1.35
13,,Brazil,1.27
14,,Bulgaria,0.92
15,,Cambodia,0.65
16,,Canada,1.50
17,,Chile,1.25
18,,China,0.50
19,,Colombia,0.79
20,,Costa Rica,1.46
21,,Croatia,2.01
22,,Cyprus,1.63
23,,Czech Republic,1.24
24,,Denmark,3.25
25,,Dominican Republic,0.88
26,,Ecuador,0.77
27,,Egypt,0.27
28,,Estonia,1.39
29,,Finland,2.36
30,,France,2.69
31,,Georgia,0.53
32,,Germany,2.40
33,,Greece,1.60
34,,Guatemala,1.03
35,,Hong Kong,1.07
36,,Hungary,1.00
37,,Iceland,2.97
38,,India,0.45
39,,Indonesia,0.53
40,,Iran,0.48
41,,Iraq,0.43
42,,Ireland,1.76
43,,Israel,2.46
44,,Italy,2.26
45,,Jamaica,0.80
46,,Japan,1.26
47,,Jordan,0.56
48,,Kazakhstan,0.57
49,,Kenya,0.57
50,,Kosovo (Disputed Territory),1.12
51,,Kuwait,0.57
52,,Latvia,1.01
53,,Lebanon,0.74
54,,Lithuania,1.28
55,,Luxembourg,3.03
56,,Macedonia,1.21
57,,Malaysia,0.54
58,,Malta,1.61
59,,Mauritius,0.98
60,,Mexico,0.68
61,,Moldova,0.69
62,,Montenegro,1.82
63,,Morocco,0.53
64,,Nepal,0.51
65,,Netherlands,2.46
66,,New Zealand,2.26
67,,Nigeria,0.42
68,,Norway,3.38
69,,Oman,0.48
70,,Pakistan,0.37
71,,Panama,1.09
72,,Peru,0.74
73,,Philippines,0.57
74,,Poland,1.02
75,,Portugal,1.34
76,,Puerto Rico,1.23
77,,Qatar,0.51
78,,Romania,1.24
79,,Russia,0.87
80,,Saudi Arabia,0.52
81,,Serbia,1.20
82,,Singapore,1.25
83,,Slovakia,1.41
84,,Slovenia,2.22
85,,South Africa,0.93
86,,South Korea,1.38
87,,Spain,1.90
88,,Sri Lanka,0.43
89,,Sweden,2.13
90,,Switzerland,4.15
91,,Taiwan,0.88
92,,Tanzania,0.48
93,,Thailand,0.56
94,,Trinidad And Tobago,0.89
95,,Tunisia,0.49
96,,Turkey,0.86
97,,Ukraine,0.44
98,,United Arab Emirates,0.57
99,,United Kingdom,1.53
100,,United States,1.78
101,,Uruguay,1.55
102,,Venezuela,0.63
103,,Vietnam,0.48
104,,Zimbabwe,0.76
