,Rank,City,Price per Square Meter to Buy Apartment Outside of Centre
0,,Albania,756.40
1,,Algeria,-
2,,Argentina,2329.63
3,,Armenia,612.58
4,,Australia,4313.37
5,,Austria,4000.20
6,,Azerbaijan,1158.00
7,,Bahrain,-
8,,Bangladesh,458.63
9,,Belarus,1547.93
10,,Belgium,3510.68
11,,Bosnia And Herzegovina,1097.11
12,,Brazil,2102.85
13,,Bulgaria,767.55
14,,Cambodia,-
15,,Canada,2468.55
16,,Chile,1780.68
17,,China,2861.41
18,,Colombia,1569.81
19,,Costa Rica,907.76
20,,Croatia,1671.10
21,,Cyprus,1796.97
22,,Czech Republic,1810.29
23,,Denmark,2721.30
24,,Dominican Republic,625.86
25,,Ecuador,1084.17
26,,Egypt,434.08
27,,Estonia,1767.81
28,,Finland,3071.26
29,,France,4266.56
30,,Georgia,969.76
31,,Germany,3065.31
32,,Greece,1815.27
33,,Hong Kong,11689.78
34,,Hungary,897.18
35,,Iceland,2192.95
36,,India,723.28
37,,Indonesia,814.30
38,,Iran,1231.63
39,,Iraq,915.57
40,,Ireland,2895.33
41,,Israel,3942.75
42,,Italy,3202.71
43,,Jamaica,-
44,,Japan,3760.39
45,,Jordan,887.40
46,,Kazakhstan,1545.20
47,,Kenya,-
48,,Kuwait,-
49,,Latvia,1178.11
50,,Lebanon,2116.67
51,,Lithuania,1466.29
52,,Luxembourg,6576.86
53,,Macedonia,1010.68
54,,Malaysia,1292.33
55,,Malta,1785.96
56,,Mexico,891.49
57,,Morocco,1088.89
58,,Nepal,363.23
59,,Netherlands,3326.98
60,,New Zealand,2658.82
61,,Nigeria,-
62,,Norway,5677.50
63,,Oman,-
64,,Pakistan,594.82
65,,Panama,1650.00
66,,Peru,-
67,,Philippines,1057.98
68,,Poland,1652.60
69,,Portugal,1527.79
70,,Puerto Rico,-
71,,Qatar,-
72,,Romania,1024.70
73,,Russia,2044.66
74,,Saudi Arabia,1016.19
75,,Serbia,1372.35
76,,Singapore,9599.44
77,,Slovakia,1293.03
78,,Slovenia,2120.47
79,,South Africa,896.03
80,,South Korea,3863.91
81,,Spain,2297.21
82,,Sri Lanka,1029.05
83,,Sweden,4288.21
84,,Switzerland,8103.14
85,,Taiwan,4383.77
86,,Thailand,1637.82
87,,Trinidad And Tobago,-
88,,Tunisia,698.96
89,,Turkey,708.27
90,,Ukraine,814.74
91,,United Arab Emirates,2885.72
92,,United Kingdom,4431.03
93,,United States,1254.75
94,,Uruguay,2378.67
95,,Venezuela,-
96,,Vietnam,621.36
