,Rank,City,Cigarettes 20 Pack (Marlboro)
0,,Albania,2.46
1,,Algeria,2.00
2,,Argentina,2.91
3,,Armenia,1.15
4,,Australia,18.63
5,,Austria,5.68
6,,Azerbaijan,2.92
7,,Bahrain,3.71
8,,Bangladesh,2.80
9,,Belarus,1.00
10,,Belgium,6.81
11,,Bolivia,2.18
12,,Bosnia And Herzegovina,2.79
13,,Brazil,2.31
14,,Bulgaria,3.02
15,,Cambodia,1.50
16,,Canada,9.38
17,,Chile,4.55
18,,China,3.04
19,,Colombia,1.36
20,,Costa Rica,3.52
21,,Croatia,3.78
22,,Cyprus,5.17
23,,Czech Republic,3.96
24,,Denmark,6.72
25,,Dominican Republic,3.05
26,,Ecuador,5.00
27,,Egypt,2.82
28,,El Salvador,3.90
29,,Estonia,4.09
30,,Finland,7.04
31,,France,7.95
32,,Georgia,1.42
33,,Germany,6.81
34,,Greece,4.54
35,,Guatemala,2.68
36,,Hong Kong,7.08
37,,Hungary,4.02
38,,Iceland,10.20
39,,India,3.00
40,,Indonesia,1.51
41,,Iran,2.66
42,,Iraq,2.00
43,,Ireland,11.92
44,,Israel,8.62
45,,Italy,5.90
46,,Jamaica,-
47,,Japan,4.28
48,,Jordan,2.82
49,,Kazakhstan,1.00
50,,Kenya,1.98
51,,Kosovo (Disputed Territory),2.72
52,,Kuwait,2.49
53,,Latvia,3.75
54,,Lebanon,2.16
55,,Lithuania,3.55
56,,Luxembourg,8.09
57,,Macedonia,2.21
58,,Malaysia,4.19
59,,Malta,6.24
60,,Mauritius,4.67
61,,Mexico,2.59
62,,Moldova,1.11
63,,Montenegro,2.84
64,,Morocco,3.42
65,,Nepal,1.87
66,,Netherlands,7.15
67,,New Zealand,16.03
68,,Nigeria,1.26
69,,Norway,13.11
70,,Oman,3.12
71,,Pakistan,1.34
72,,Panama,5.00
73,,Peru,2.72
74,,Philippines,1.30
75,,Poland,3.92
76,,Portugal,5.45
77,,Puerto Rico,7.25
78,,Qatar,2.75
79,,Romania,4.03
80,,Russia,1.61
81,,Saudi Arabia,3.20
82,,Serbia,2.39
83,,Singapore,9.61
84,,Slovakia,3.97
85,,Slovenia,4.43
86,,South Africa,2.55
87,,South Korea,3.90
88,,Spain,5.68
89,,Sri Lanka,5.48
90,,Sweden,7.25
91,,Switzerland,8.27
92,,Taiwan,2.96
93,,Thailand,3.40
94,,Trinidad And Tobago,4.52
95,,Tunisia,2.82
96,,Turkey,3.79
97,,Ukraine,1.00
98,,United Arab Emirates,2.72
99,,United Kingdom,13.10
100,,United States,6.70
101,,Uruguay,3.92
102,,Venezuela,1.65
103,,Vietnam,1.11
104,,Zimbabwe,-
