,Rank,City,McMeal at McDonalds (or Equivalent Combo Meal)
0,,Albania,3.72
1,,Algeria,4.22
2,,Argentina,9.00
3,,Armenia,4.18
4,,Australia,7.61
5,,Austria,7.65
6,,Azerbaijan,5.71
7,,Bahrain,5.31
8,,Bangladesh,5.14
9,,Belarus,5.22
10,,Belgium,8.74
11,,Bosnia And Herzegovina,4.05
12,,Brazil,6.91
13,,Bulgaria,4.47
14,,Cambodia,4.00
15,,Canada,7.17
16,,Chile,5.77
17,,China,4.84
18,,Colombia,5.42
19,,Costa Rica,6.54
20,,Croatia,5.05
21,,Cyprus,6.56
22,,Czech Republic,4.78
23,,Denmark,10.25
24,,Dominican Republic,6.69
25,,Ecuador,5.83
26,,Egypt,5.24
27,,Estonia,5.46
28,,Finland,7.65
29,,France,8.74
30,,Georgia,4.78
31,,Germany,7.65
32,,Greece,6.56
33,,Guatemala,5.22
34,,Hong Kong,4.10
35,,Hungary,5.31
36,,Iceland,11.10
37,,India,3.14
38,,Indonesia,3.40
39,,Iran,4.69
40,,Iraq,9.00
41,,Ireland,8.09
42,,Israel,11.62
43,,Italy,8.20
44,,Jamaica,5.31
45,,Japan,5.21
46,,Jordan,7.06
47,,Kazakhstan,6.45
48,,Kenya,7.42
49,,Kuwait,5.94
50,,Latvia,5.46
51,,Lebanon,8.00
52,,Lithuania,5.01
53,,Luxembourg,9.29
54,,Macedonia,3.01
55,,Malaysia,3.25
56,,Malta,8.74
57,,Mauritius,5.66
58,,Mexico,5.16
59,,Moldova,3.30
60,,Montenegro,3.83
61,,Morocco,5.08
62,,Nepal,4.91
63,,Netherlands,7.65
64,,New Zealand,7.09
65,,Nigeria,7.03
66,,Norway,12.58
67,,Oman,6.05
68,,Pakistan,5.40
69,,Panama,6.00
70,,Peru,4.75
71,,Philippines,2.69
72,,Poland,4.31
73,,Portugal,6.01
74,,Puerto Rico,6.99
75,,Qatar,6.04
76,,Romania,4.43
77,,Russia,5.61
78,,Saudi Arabia,5.33
79,,Serbia,4.07
80,,Singapore,5.16
81,,Slovakia,5.46
82,,Slovenia,5.46
83,,South Africa,4.08
84,,South Korea,5.38
85,,Spain,7.65
86,,Sri Lanka,4.85
87,,Sweden,8.05
88,,Switzerland,14.81
89,,Taiwan,3.89
90,,Tanzania,6.15
91,,Thailand,4.45
92,,Trinidad And Tobago,6.31
93,,Tunisia,3.56
94,,Turkey,5.59
95,,Ukraine,2.61
96,,United Arab Emirates,6.81
97,,United Kingdom,7.60
98,,United States,7.00
99,,Uruguay,9.32
100,,Venezuela,7.20
101,,Vietnam,4.13
102,,Zimbabwe,5.00
