,Rank,City,Price per Square Meter to Buy Apartment in City Centre
0,,Albania,1676.19
1,,Algeria,1091.60
2,,Argentina,2966.78
3,,Armenia,1528.12
4,,Australia,5747.17
5,,Austria,5745.19
6,,Azerbaijan,1408.93
7,,Bahrain,-
8,,Bangladesh,1309.81
9,,Belarus,1589.22
10,,Belgium,3533.94
11,,Bolivia,972.32
12,,Bosnia And Herzegovina,1586.48
13,,Brazil,1824.25
14,,Brunei,-
15,,Bulgaria,1502.89
16,,Cambodia,-
17,,Canada,5782.70
18,,Chile,2009.60
19,,China,9269.89
20,,Colombia,1637.46
21,,Costa Rica,1830.38
22,,Croatia,2939.22
23,,Cyprus,2004.44
24,,Czech Republic,4984.34
25,,Denmark,6111.51
26,,Dominican Republic,1188.68
27,,Ecuador,1490.48
28,,Egypt,699.66
29,,El Salvador,-
30,,Estonia,2814.18
31,,Ethiopia,-
32,,Finland,6802.40
33,,France,8980.17
34,,Georgia,1016.80
35,,Germany,6368.67
36,,Greece,1937.28
37,,Guatemala,1542.91
38,,Honduras,919.10
39,,Hong Kong,30153.99
40,,Hungary,2975.42
41,,Iceland,4805.32
42,,India,1604.17
43,,Indonesia,1825.10
44,,Iran,2273.62
45,,Iraq,1445.34
46,,Ireland,4999.27
47,,Israel,7606.46
48,,Italy,4488.31
49,,Jamaica,-
50,,Japan,9422.43
51,,Jordan,1244.25
52,,Kazakhstan,1115.98
53,,Kenya,4658.85
54,,Kosovo (Disputed Territory),1203.30
55,,Kuwait,6238.69
56,,Latvia,1970.98
57,,Lebanon,3760.43
58,,Lithuania,2773.66
59,,Luxembourg,10753.96
60,,Macedonia,1267.20
61,,Malaysia,2213.00
62,,Malta,3749.80
63,,Mauritius,-
64,,Mexico,1670.86
65,,Moldova,930.76
66,,Montenegro,1496.19
67,,Morocco,1647.67
68,,Namibia,-
69,,Nepal,1299.36
70,,Netherlands,5456.00
71,,New Zealand,5056.75
72,,Nigeria,1040.51
73,,Norway,8045.28
74,,Oman,2485.23
75,,Pakistan,682.04
76,,Palestinian Territory,661.36
77,,Panama,2075.00
78,,Peru,1678.71
79,,Philippines,2036.37
80,,Poland,2749.87
81,,Portugal,3379.07
82,,Puerto Rico,1285.18
83,,Qatar,4703.38
84,,Romania,1783.51
85,,Russia,1856.16
86,,Saudi Arabia,928.29
87,,Serbia,2513.80
88,,Singapore,19647.32
89,,Slovakia,2710.34
90,,Slovenia,3425.91
91,,South Africa,1322.12
92,,South Korea,11771.68
93,,Spain,3805.14
94,,Sri Lanka,2767.23
95,,Sweden,7223.20
96,,Switzerland,10739.48
97,,Taiwan,8556.78
98,,Thailand,4146.73
99,,Trinidad And Tobago,710.65
100,,Tunisia,724.85
101,,Turkey,1048.11
102,,Uganda,-
103,,Ukraine,1296.71
104,,United Arab Emirates,3315.74
105,,United Kingdom,6913.91
106,,United States,2761.81
107,,Uruguay,2432.13
108,,Uzbekistan,951.67
109,,Venezuela,592.35
110,,Vietnam,2398.71
