,Rank,City,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child"
0,,Albania,137.56
1,,Algeria,78.22
2,,Argentina,234.00
3,,Armenia,158.61
4,,Australia,1142.15
5,,Austria,267.45
6,,Azerbaijan,179.20
7,,Bahrain,409.86
8,,Bangladesh,49.58
9,,Belarus,431.25
10,,Belgium,647.26
11,,Bolivia,99.80
12,,Bosnia And Herzegovina,144.80
13,,Brazil,381.37
14,,Bulgaria,342.77
15,,Cambodia,269.81
16,,Canada,728.58
17,,Chile,378.63
18,,China,557.50
19,,Colombia,237.84
20,,Costa Rica,388.26
21,,Croatia,177.11
22,,Cyprus,306.36
23,,Czech Republic,398.18
24,,Denmark,439.39
25,,Dominican Republic,204.66
26,,Ecuador,294.55
27,,Egypt,119.39
28,,Estonia,470.22
29,,Finland,350.03
30,,France,607.02
31,,Georgia,129.26
32,,Germany,345.53
33,,Greece,373.71
34,,Guatemala,243.92
35,,Hong Kong,663.24
36,,Hungary,291.13
37,,Iceland,366.17
38,,India,78.55
39,,Indonesia,61.34
40,,Iran,136.91
41,,Iraq,119.89
42,,Ireland,1004.99
43,,Israel,763.80
44,,Italy,491.90
45,,Jamaica,-
46,,Japan,367.74
47,,Jordan,339.65
48,,Kazakhstan,198.17
49,,Kenya,179.29
50,,Kosovo (Disputed Territory),87.08
51,,Kuwait,297.54
52,,Latvia,313.20
53,,Lebanon,355.04
54,,Lithuania,382.05
55,,Luxembourg,1115.84
56,,Macedonia,192.15
57,,Malaysia,148.30
58,,Malta,370.08
59,,Mauritius,155.41
60,,Mexico,176.60
61,,Moldova,135.34
62,,Montenegro,165.70
63,,Morocco,104.12
64,,Nepal,78.37
65,,Netherlands,1631.77
66,,New Zealand,584.76
67,,Nigeria,97.83
68,,Norway,332.29
69,,Oman,178.30
70,,Pakistan,102.22
71,,Panama,275.04
72,,Peru,164.15
73,,Philippines,287.83
74,,Poland,261.61
75,,Portugal,394.30
76,,Puerto Rico,383.97
77,,Qatar,690.21
78,,Romania,284.30
79,,Russia,385.41
80,,Saudi Arabia,356.56
81,,Serbia,234.62
82,,Singapore,802.35
83,,Slovakia,396.83
84,,Slovenia,461.04
85,,South Africa,212.34
86,,South Korea,485.77
87,,Spain,374.47
88,,Sri Lanka,40.89
89,,Sweden,155.56
90,,Switzerland,2110.27
91,,Taiwan,440.96
92,,Tanzania,-
93,,Thailand,292.35
94,,Trinidad And Tobago,298.57
95,,Tunisia,70.75
96,,Turkey,394.97
97,,Ukraine,148.45
98,,United Arab Emirates,655.71
99,,United Kingdom,1158.19
100,,United States,849.06
101,,Uruguay,269.51
102,,Venezuela,-
103,,Vietnam,162.78
104,,Zimbabwe,-
