,Rank,City,"Meal, Inexpensive Restaurant"
0,,Albania,6.20
1,,Algeria,3.01
2,,Argentina,12.00
3,,Armenia,6.27
4,,Australia,13.69
5,,Austria,9.84
6,,Azerbaijan,5.97
7,,Bahrain,5.31
8,,Bangladesh,1.93
9,,Belarus,10.00
10,,Belgium,16.39
11,,Bosnia And Herzegovina,3.91
12,,Brazil,6.28
13,,Bulgaria,5.59
14,,Cambodia,2.50
15,,Canada,11.96
16,,Chile,6.41
17,,China,3.23
18,,Colombia,3.51
19,,Costa Rica,7.47
20,,Croatia,6.49
21,,Cyprus,10.93
22,,Czech Republic,4.38
23,,Denmark,14.65
24,,Dominican Republic,6.69
25,,Ecuador,3.00
26,,Egypt,4.59
27,,Estonia,7.65
28,,Finland,12.57
29,,France,14.21
30,,Georgia,5.21
31,,Germany,10.93
32,,Greece,10.93
33,,Guatemala,4.56
34,,Hong Kong,6.45
35,,Hungary,5.31
36,,Iceland,14.80
37,,India,2.36
38,,Indonesia,2.27
39,,Iran,4.86
40,,Iraq,8.00
41,,Ireland,16.39
42,,Israel,12.91
43,,Italy,16.39
44,,Jamaica,4.32
45,,Japan,6.41
46,,Jordan,5.65
47,,Kazakhstan,10.75
48,,Kenya,3.58
49,,Kuwait,4.95
50,,Latvia,7.10
51,,Lebanon,10.00
52,,Lithuania,5.46
53,,Luxembourg,16.39
54,,Macedonia,3.54
55,,Malaysia,2.71
56,,Malta,15.85
57,,Mauritius,5.66
58,,Mexico,5.16
59,,Moldova,3.30
60,,Montenegro,5.74
61,,Morocco,2.54
62,,Nepal,1.47
63,,Netherlands,16.39
64,,New Zealand,12.76
65,,Nigeria,2.91
66,,Norway,21.38
67,,Oman,5.19
68,,Pakistan,1.96
69,,Panama,8.00
70,,Peru,3.17
71,,Philippines,2.47
72,,Poland,5.31
73,,Portugal,7.65
74,,Puerto Rico,10.00
75,,Qatar,8.24
76,,Romania,4.92
77,,Russia,9.36
78,,Saudi Arabia,4.00
79,,Serbia,4.53
80,,Singapore,7.37
81,,Slovakia,5.46
82,,Slovenia,7.65
83,,South Africa,8.15
84,,South Korea,5.38
85,,Spain,10.93
86,,Sri Lanka,1.87
87,,Sweden,10.51
88,,Switzerland,23.27
89,,Taiwan,3.24
90,,Tanzania,3.78
91,,Thailand,1.48
92,,Trinidad And Tobago,6.31
93,,Tunisia,2.54
94,,Turkey,5.59
95,,Ukraine,4.75
96,,United Arab Emirates,6.81
97,,United Kingdom,18.24
98,,United States,12.00
99,,Uruguay,11.18
100,,Venezuela,5.00
101,,Vietnam,1.83
102,,Zimbabwe,7.00
