,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,1.20
1,,Algeria,1.80
2,,Argentina,3.18
3,,Armenia,1.28
4,,Australia,4.10
5,,Austria,1.54
6,,Azerbaijan,1.91
7,,Bahrain,8.62
8,,Bangladesh,4.04
9,,Belarus,1.83
10,,Belgium,1.78
11,,Bolivia,3.16
12,,Bosnia And Herzegovina,0.93
13,,Brazil,2.90
14,,Bulgaria,1.09
15,,Cambodia,1.69
16,,Canada,2.38
17,,Chile,1.86
18,,China,2.11
19,,Colombia,1.87
20,,Costa Rica,2.60
21,,Croatia,1.57
22,,Cyprus,1.45
23,,Czech Republic,1.12
24,,Denmark,2.32
25,,Dominican Republic,3.42
26,,Ecuador,2.45
27,,Egypt,2.25
28,,El Salvador,2.15
29,,Estonia,1.43
30,,Finland,2.66
31,,France,1.94
32,,Georgia,1.31
33,,Germany,1.27
34,,Greece,1.77
35,,Guatemala,1.96
36,,Hong Kong,1.96
37,,Hungary,1.15
38,,Iceland,2.85
39,,India,2.37
40,,Indonesia,3.10
41,,Iran,1.41
42,,Iraq,1.66
43,,Ireland,2.63
44,,Israel,3.05
45,,Italy,1.77
46,,Jamaica,-
47,,Japan,3.35
48,,Jordan,5.96
49,,Kazakhstan,0.97
50,,Kenya,2.23
51,,Kosovo (Disputed Territory),0.91
52,,Kuwait,-
53,,Latvia,1.42
54,,Lebanon,1.86
55,,Lithuania,1.28
56,,Luxembourg,1.99
57,,Macedonia,1.01
58,,Malaysia,3.26
59,,Malta,1.63
60,,Mauritius,-
61,,Mexico,1.73
62,,Moldova,1.05
63,,Montenegro,1.39
64,,Morocco,2.34
65,,Nepal,2.99
66,,Netherlands,1.74
67,,New Zealand,3.35
68,,Nigeria,2.31
69,,Norway,4.36
70,,Oman,6.36
71,,Pakistan,4.66
72,,Panama,2.03
73,,Peru,2.62
74,,Philippines,1.76
75,,Poland,1.10
76,,Portugal,1.71
77,,Puerto Rico,3.20
78,,Qatar,11.50
79,,Romania,1.19
80,,Russia,1.76
81,,Saudi Arabia,0.90
82,,Serbia,0.92
83,,Singapore,5.27
84,,Slovakia,1.32
85,,Slovenia,1.46
86,,South Africa,1.86
87,,South Korea,2.92
88,,Spain,1.35
89,,Sri Lanka,2.76
90,,Sweden,2.12
91,,Switzerland,2.30
92,,Taiwan,1.80
93,,Thailand,2.62
94,,Trinidad And Tobago,2.28
95,,Tunisia,0.94
96,,Turkey,2.85
97,,Ukraine,1.08
98,,United Arab Emirates,8.20
99,,United Kingdom,2.24
100,,United States,2.47
101,,Uruguay,2.13
102,,Venezuela,2.29
103,,Vietnam,1.42
104,,Zimbabwe,-
