,Rank,City,Price per Square Meter to Buy Apartment Outside of Centre
0,,Albania,708.42
1,,Algeria,720.97
2,,Argentina,1886.52
3,,Armenia,789.15
4,,Australia,4256.49
5,,Austria,4106.40
6,,Azerbaijan,611.09
7,,Bahamas,-
8,,Bahrain,1804.70
9,,Bangladesh,579.25
10,,Belarus,1079.46
11,,Belgium,2901.77
12,,Belize,-
13,,Bolivia,806.46
14,,Bosnia And Herzegovina,1038.46
15,,Brazil,1435.97
16,,Bulgaria,958.25
17,,Cambodia,1132.22
18,,Canada,3631.95
19,,Chile,2293.05
20,,China,4626.43
21,,Colombia,1202.63
22,,Costa Rica,1543.58
23,,Croatia,1820.01
24,,Cyprus,1854.77
25,,Czech Republic,3057.71
26,,Denmark,3992.13
27,,Dominican Republic,745.43
28,,Ecuador,1200.20
29,,Egypt,346.46
30,,El Salvador,-
31,,Estonia,1852.37
32,,Fiji,-
33,,Finland,3657.06
34,,France,5518.51
35,,Georgia,577.50
36,,Germany,4070.08
37,,Ghana,-
38,,Greece,1583.71
39,,Guatemala,895.40
40,,Hong Kong,18709.04
41,,Hungary,1613.76
42,,Iceland,4093.99
43,,India,802.57
44,,Indonesia,827.45
45,,Iran,1022.99
46,,Iraq,724.66
47,,Ireland,3682.29
48,,Israel,5781.24
49,,Italy,2660.02
50,,Jamaica,-
51,,Japan,4022.51
52,,Jordan,797.23
53,,Kazakhstan,776.69
54,,Kenya,-
55,,Kosovo (Disputed Territory),842.77
56,,Kuwait,2787.99
57,,Latvia,1184.62
58,,Lebanon,1673.46
59,,Lithuania,1510.05
60,,Luxembourg,7765.97
61,,Macedonia,900.50
62,,Malaysia,1388.91
63,,Malta,2325.39
64,,Mauritius,-
65,,Mexico,860.21
66,,Moldova,659.42
67,,Montenegro,1223.13
68,,Morocco,932.61
69,,Namibia,886.23
70,,Nepal,695.62
71,,Netherlands,3726.37
72,,New Zealand,4102.76
73,,Nigeria,-
74,,Norway,5199.87
75,,Oman,-
76,,Pakistan,588.55
77,,Panama,1512.50
78,,Peru,1107.59
79,,Philippines,1005.65
80,,Poland,1698.51
81,,Portugal,1882.95
82,,Puerto Rico,-
83,,Qatar,3013.04
84,,Romania,1175.50
85,,Russia,1315.10
86,,Saudi Arabia,772.01
87,,Serbia,1247.53
88,,Singapore,8773.63
89,,Slovakia,1920.98
90,,Slovenia,2468.83
91,,South Africa,864.06
92,,South Korea,6208.96
93,,Spain,2376.65
94,,Sri Lanka,1064.76
95,,Sweden,4788.43
96,,Switzerland,8066.35
97,,Taiwan,5479.06
98,,Tanzania,-
99,,Thailand,1927.81
100,,Trinidad And Tobago,-
101,,Tunisia,632.18
102,,Turkey,678.70
103,,Uganda,-
104,,Ukraine,640.92
105,,United Arab Emirates,2255.22
106,,United Kingdom,4394.80
107,,United States,1929.31
108,,Uruguay,2175.27
109,,Uzbekistan,400.00
110,,Venezuela,734.55
111,,Vietnam,1072.55
112,,Zimbabwe,-
