,Rank,City,Cappuccino (regular)
0,,Albania,1.14
1,,Algeria,0.65
2,,Argentina,2.78
3,,Armenia,1.53
4,,Australia,3.07
5,,Austria,3.35
6,,Azerbaijan,2.69
7,,Bahrain,4.59
8,,Bangladesh,2.18
9,,Belarus,1.29
10,,Belgium,2.98
11,,Bolivia,2.31
12,,Bosnia And Herzegovina,1.14
13,,Brazil,1.56
14,,Bulgaria,1.18
15,,Cambodia,2.15
16,,Canada,2.96
17,,Chile,2.54
18,,China,4.19
19,,Colombia,1.28
20,,Costa Rica,2.42
21,,Croatia,1.44
22,,Cyprus,3.22
23,,Czech Republic,1.73
24,,Denmark,5.21
25,,Dominican Republic,1.78
26,,Ecuador,2.17
27,,Egypt,1.85
28,,El Salvador,2.50
29,,Estonia,2.58
30,,Finland,3.77
31,,France,3.19
32,,Georgia,1.77
33,,Germany,2.97
34,,Greece,3.34
35,,Guatemala,2.30
36,,Hong Kong,4.44
37,,Hungary,1.35
38,,Iceland,4.28
39,,India,1.38
40,,Indonesia,2.05
41,,Iran,2.48
42,,Iraq,2.06
43,,Ireland,3.18
44,,Israel,3.17
45,,Italy,1.54
46,,Jamaica,2.27
47,,Japan,3.52
48,,Jordan,3.93
49,,Kazakhstan,1.60
50,,Kenya,2.32
51,,Kosovo (Disputed Territory),1.10
52,,Kuwait,4.83
53,,Latvia,2.42
54,,Lebanon,3.29
55,,Lithuania,2.13
56,,Luxembourg,3.51
57,,Macedonia,1.20
58,,Malaysia,2.53
59,,Malta,2.03
60,,Mauritius,1.28
61,,Mexico,1.86
62,,Moldova,1.07
63,,Montenegro,1.48
64,,Morocco,1.37
65,,Nepal,1.32
66,,Netherlands,2.97
67,,New Zealand,3.21
68,,Nigeria,3.16
69,,Norway,4.66
70,,Oman,4.53
71,,Pakistan,1.77
72,,Panama,2.70
73,,Peru,2.24
74,,Philippines,2.26
75,,Poland,1.99
76,,Portugal,1.37
77,,Puerto Rico,2.32
78,,Qatar,4.66
79,,Romania,1.58
80,,Russia,1.95
81,,Saudi Arabia,2.69
82,,Serbia,1.28
83,,Singapore,3.98
84,,Slovakia,1.92
85,,Slovenia,1.52
86,,South Africa,1.49
87,,South Korea,3.82
88,,Spain,1.79
89,,Sri Lanka,2.17
90,,Sweden,4.17
91,,Switzerland,4.72
92,,Taiwan,2.47
93,,Thailand,1.82
94,,Trinidad And Tobago,2.60
95,,Tunisia,0.81
96,,Turkey,2.48
97,,Ukraine,0.82
98,,United Arab Emirates,4.43
99,,United Kingdom,3.72
100,,United States,3.91
101,,Uruguay,2.81
102,,Venezuela,0.85
103,,Vietnam,1.67
104,,Zimbabwe,2.44
