,Rank,City,"Cinema, International Release, 1 Seat"
0,,Albania,4.09
1,,Argentina,8.00
2,,Australia,16.50
3,,Austria,11.11
4,,Bahrain,8.00
5,,Bangladesh,3.10
6,,Belarus,3.00
7,,Belgium,10.96
8,,Bosnia And Herzegovina,3.70
9,,Brazil,8.87
10,,Bulgaria,5.70
11,,Cambodia,5.00
12,,Canada,11.65
13,,Chile,7.53
14,,China,12.56
15,,Colombia,5.59
16,,Costa Rica,5.00
17,,Croatia,4.93
18,,Cyprus,9.88
19,,Czech Republic,7.67
20,,Denmark,14.14
21,,Dominican Republic,5.06
22,,Ecuador,4.50
23,,Egypt,4.98
24,,Estonia,6.48
25,,Finland,14.81
26,,France,11.98
27,,Georgia,8.40
28,,Germany,9.88
29,,Greece,9.88
30,,Hong Kong,9.66
31,,Hungary,6.07
32,,Iceland,9.74
33,,India,3.20
34,,Indonesia,3.74
35,,Iran,3.00
36,,Iraq,9.00
37,,Ireland,11.73
38,,Israel,9.74
39,,Italy,9.88
40,,Japan,22.92
41,,Jordan,10.56
42,,Kazakhstan,6.80
43,,Kenya,5.91
44,,Kuwait,10.65
45,,Latvia,7.09
46,,Lebanon,7.99
47,,Lithuania,5.90
48,,Luxembourg,10.49
49,,Macedonia,3.02
50,,Malaysia,3.77
51,,Malta,8.64
52,,Mauritius,5.48
53,,Mexico,4.18
54,,Morocco,4.61
55,,Nepal,3.54
56,,Netherlands,11.11
57,,New Zealand,12.03
58,,Nigeria,10.00
59,,Norway,16.78
60,,Oman,7.95
61,,Pakistan,4.80
62,,Peru,5.76
63,,Philippines,3.92
64,,Poland,5.93
65,,Portugal,7.41
66,,Puerto Rico,7.00
67,,Qatar,9.62
68,,Romania,5.51
69,,Russia,8.98
70,,Saudi Arabia,75.00
71,,Serbia,3.70
72,,Singapore,7.75
73,,Slovakia,7.10
74,,Slovenia,6.17
75,,South Africa,5.29
76,,South Korea,6.79
77,,Spain,9.88
78,,Sri Lanka,3.24
79,,Sweden,15.13
80,,Switzerland,18.56
81,,Taiwan,8.38
82,,Tanzania,5.69
83,,Thailand,4.72
84,,Tunisia,3.40
85,,Turkey,6.99
86,,Ukraine,5.00
87,,United Arab Emirates,9.54
88,,United Kingdom,12.31
89,,United States,10.00
90,,Uruguay,9.97
91,,Venezuela,11.62
92,,Vietnam,4.49
