,Rank,City,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car)
0,,Albania,18056.54
1,,Algeria,21337.34
2,,Argentina,26186.67
3,,Armenia,18733.02
4,,Australia,17535.61
5,,Austria,23129.19
6,,Azerbaijan,17993.49
7,,Bahrain,18368.70
8,,Bangladesh,35890.02
9,,Belarus,16050.41
10,,Belgium,25548.37
11,,Bolivia,-
12,,Bosnia And Herzegovina,21227.78
13,,Brazil,22412.99
14,,Bulgaria,19557.84
15,,Cambodia,-
16,,Canada,16798.35
17,,Chile,16039.35
18,,China,21104.54
19,,Colombia,22081.40
20,,Costa Rica,25624.39
21,,Croatia,21158.51
22,,Cyprus,18210.54
23,,Czech Republic,18205.85
24,,Denmark,37897.16
25,,Dominican Republic,25315.67
26,,Ecuador,33823.53
27,,Egypt,30920.66
28,,El Salvador,-
29,,Estonia,18808.04
30,,Finland,28150.27
31,,France,24178.68
32,,Georgia,15607.55
33,,Germany,21411.51
34,,Greece,21607.54
35,,Guatemala,20532.27
36,,Hong Kong,27956.39
37,,Hungary,19472.60
38,,Iceland,31420.36
39,,India,22398.33
40,,Indonesia,24371.86
41,,Iran,38755.24
42,,Iraq,18725.66
43,,Ireland,27530.56
44,,Israel,33966.72
45,,Italy,25429.99
46,,Jamaica,-
47,,Japan,21424.25
48,,Jordan,29162.86
49,,Kazakhstan,17685.86
50,,Kenya,16100.75
51,,Kosovo (Disputed Territory),16649.64
52,,Kuwait,18713.03
53,,Latvia,19588.73
54,,Lebanon,20642.86
55,,Lithuania,19720.61
56,,Luxembourg,-
57,,Macedonia,19318.16
58,,Malaysia,28253.39
59,,Malta,25636.66
60,,Mauritius,34220.71
61,,Mexico,13722.79
62,,Moldova,19525.40
63,,Montenegro,-
64,,Morocco,18329.87
65,,Nepal,47936.53
66,,Netherlands,25484.52
67,,New Zealand,19515.48
68,,Nigeria,26300.81
69,,Norway,36662.49
70,,Oman,19864.97
71,,Pakistan,18298.23
72,,Panama,19750.00
73,,Peru,19110.64
74,,Philippines,20812.03
75,,Poland,19252.81
76,,Portugal,27652.73
77,,Puerto Rico,22499.67
78,,Qatar,19472.22
79,,Romania,19699.67
80,,Russia,16831.76
81,,Saudi Arabia,16968.57
82,,Serbia,18465.00
83,,Singapore,85397.42
84,,Slovakia,18434.36
85,,Slovenia,19904.64
86,,South Africa,17404.25
87,,South Korea,22911.39
88,,Spain,20569.87
89,,Sri Lanka,39994.09
90,,Sweden,23272.15
91,,Switzerland,24873.42
92,,Taiwan,20527.12
93,,Thailand,23461.22
94,,Trinidad And Tobago,28738.38
95,,Tunisia,23152.07
96,,Turkey,25943.23
97,,Ukraine,19611.11
98,,United Arab Emirates,17864.35
99,,United Kingdom,26083.17
100,,United States,20100.34
101,,Uruguay,31512.95
102,,Venezuela,36500.00
103,,Vietnam,35051.45
104,,Zimbabwe,-
