,Rank,City,Local Cheese (1kg)
0,,Albania,4.23
1,,Algeria,5.38
2,,Argentina,9.30
3,,Armenia,4.48
4,,Australia,7.31
5,,Austria,11.01
6,,Azerbaijan,3.26
7,,Bahrain,8.69
8,,Bangladesh,5.38
9,,Belarus,4.81
10,,Belgium,16.97
11,,Bolivia,4.92
12,,Bosnia And Herzegovina,5.94
13,,Brazil,7.10
14,,Bulgaria,5.46
15,,Cambodia,14.80
16,,Canada,9.31
17,,Chile,8.37
18,,China,14.87
19,,Colombia,3.16
20,,Costa Rica,6.57
21,,Croatia,7.66
22,,Cyprus,7.45
23,,Czech Republic,7.17
24,,Denmark,11.45
25,,Dominican Republic,7.81
26,,Ecuador,5.11
27,,Egypt,3.48
28,,El Salvador,6.65
29,,Estonia,6.36
30,,Finland,6.88
31,,France,16.21
32,,Georgia,3.69
33,,Germany,9.03
34,,Greece,9.52
35,,Guatemala,3.88
36,,Hong Kong,15.61
37,,Hungary,5.80
38,,Iceland,12.56
39,,India,4.77
40,,Indonesia,9.77
41,,Iran,4.44
42,,Iraq,5.86
43,,Ireland,10.09
44,,Israel,11.41
45,,Italy,13.43
46,,Jamaica,-
47,,Japan,16.97
48,,Jordan,7.37
49,,Kazakhstan,4.58
50,,Kenya,7.53
51,,Kosovo (Disputed Territory),3.69
52,,Kuwait,5.31
53,,Latvia,6.39
54,,Lebanon,7.31
55,,Lithuania,7.41
56,,Luxembourg,8.77
57,,Macedonia,4.89
58,,Malaysia,14.51
59,,Malta,9.29
60,,Mauritius,-
61,,Mexico,5.10
62,,Moldova,4.72
63,,Montenegro,4.97
64,,Morocco,6.32
65,,Nepal,6.89
66,,Netherlands,9.86
67,,New Zealand,6.47
68,,Nigeria,12.28
69,,Norway,11.57
70,,Oman,7.73
71,,Pakistan,5.03
72,,Panama,9.91
73,,Peru,6.22
74,,Philippines,6.46
75,,Poland,5.54
76,,Portugal,8.00
77,,Puerto Rico,5.28
78,,Qatar,7.72
79,,Romania,5.01
80,,Russia,6.43
81,,Saudi Arabia,5.48
82,,Serbia,4.33
83,,Singapore,16.92
84,,Slovakia,8.50
85,,Slovenia,9.62
86,,South Africa,5.89
87,,South Korea,14.74
88,,Spain,10.70
89,,Sri Lanka,8.34
90,,Sweden,10.53
91,,Switzerland,23.62
92,,Taiwan,20.94
93,,Thailand,16.76
94,,Trinidad And Tobago,5.77
95,,Tunisia,8.80
96,,Turkey,6.16
97,,Ukraine,4.17
98,,United Arab Emirates,8.12
99,,United Kingdom,8.29
100,,United States,10.99
101,,Uruguay,9.41
102,,Venezuela,3.78
103,,Vietnam,8.33
104,,Zimbabwe,12.41
