,Rank,City,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)"
0,,Albania,21.79
1,,Algeria,35.51
2,,Argentina,32.47
3,,Armenia,16.33
4,,Australia,66.85
5,,Austria,27.00
6,,Azerbaijan,33.15
7,,Bahrain,42.74
8,,Bangladesh,46.33
9,,Belarus,19.61
10,,Belgium,46.72
11,,Bosnia And Herzegovina,17.35
12,,Brazil,33.42
13,,Bulgaria,10.53
14,,Cambodia,39.17
15,,Canada,47.09
16,,Chile,48.90
17,,China,16.69
18,,Colombia,34.81
19,,Costa Rica,58.61
20,,Croatia,27.45
21,,Cyprus,46.42
22,,Czech Republic,19.56
23,,Denmark,34.76
24,,Dominican Republic,66.99
25,,Ecuador,43.30
26,,Egypt,50.15
27,,Estonia,21.68
28,,Finland,24.06
29,,France,36.50
30,,Georgia,13.42
31,,Germany,31.29
32,,Greece,25.73
33,,Hong Kong,25.05
34,,Hungary,18.26
35,,Iceland,63.70
36,,India,21.19
37,,Indonesia,32.61
38,,Iran,62.01
39,,Iraq,54.38
40,,Ireland,45.70
41,,Israel,22.50
42,,Italy,35.10
43,,Jamaica,30.96
44,,Japan,37.61
45,,Jordan,42.58
46,,Kazakhstan,22.42
47,,Kenya,56.04
48,,Kuwait,42.17
49,,Latvia,14.35
50,,Lebanon,61.34
51,,Lithuania,11.82
52,,Luxembourg,49.26
53,,Macedonia,12.92
54,,Malaysia,45.00
55,,Malta,28.24
56,,Mexico,30.79
57,,Morocco,22.41
58,,Nepal,18.15
59,,Netherlands,32.07
60,,New Zealand,73.62
61,,Nigeria,-
62,,Norway,52.91
63,,Oman,60.52
64,,Pakistan,28.23
65,,Panama,38.44
66,,Peru,56.58
67,,Philippines,46.17
68,,Poland,14.83
69,,Portugal,31.03
70,,Puerto Rico,51.17
71,,Qatar,85.02
72,,Romania,10.31
73,,Russia,10.75
74,,Saudi Arabia,47.60
75,,Serbia,18.59
76,,Singapore,31.38
77,,Slovakia,16.55
78,,Slovenia,30.13
79,,South Africa,66.58
80,,South Korea,24.69
81,,Spain,46.15
82,,Sri Lanka,12.48
83,,Sweden,35.45
84,,Switzerland,49.23
85,,Taiwan,22.40
86,,Thailand,19.04
87,,Trinidad And Tobago,30.94
88,,Tunisia,28.61
89,,Turkey,27.16
90,,Ukraine,5.90
91,,United Arab Emirates,79.75
92,,United Kingdom,31.86
93,,United States,47.20
94,,Uruguay,33.52
95,,Venezuela,46.49
96,,Vietnam,14.36
