,Rank,City,1 Pair of Men Leather Business Shoes
0,,Albania,94.31
1,,Algeria,90.36
2,,Argentina,86.86
3,,Armenia,81.88
4,,Australia,97.07
5,,Austria,119.84
6,,Azerbaijan,90.28
7,,Bahrain,68.65
8,,Bangladesh,45.38
9,,Belarus,89.72
10,,Belgium,128.39
11,,Bolivia,72.47
12,,Bosnia And Herzegovina,78.18
13,,Brazil,46.85
14,,Bulgaria,76.65
15,,Cambodia,60.00
16,,Canada,94.53
17,,Chile,69.97
18,,China,81.12
19,,Colombia,58.33
20,,Costa Rica,95.17
21,,Croatia,103.25
22,,Cyprus,102.34
23,,Czech Republic,96.70
24,,Denmark,161.79
25,,Dominican Republic,91.64
26,,Ecuador,80.40
27,,Egypt,67.06
28,,Estonia,104.70
29,,Finland,131.38
30,,France,126.18
31,,Georgia,117.21
32,,Germany,120.65
33,,Ghana,47.51
34,,Greece,99.00
35,,Guatemala,88.68
36,,Hong Kong,118.46
37,,Hungary,86.38
38,,Iceland,157.78
39,,India,37.01
40,,Indonesia,67.98
41,,Iran,105.76
42,,Iraq,46.57
43,,Ireland,97.07
44,,Israel,133.31
45,,Italy,125.07
46,,Japan,119.25
47,,Jordan,86.09
48,,Kazakhstan,92.06
49,,Kenya,52.15
50,,Kosovo (Disputed Territory),58.27
51,,Kuwait,82.70
52,,Latvia,103.88
53,,Lebanon,129.45
54,,Lithuania,100.94
55,,Luxembourg,122.47
56,,Malaysia,64.54
57,,Malta,118.30
58,,Mauritius,-
59,,Mexico,57.93
60,,Moldova,97.21
61,,Montenegro,95.41
62,,Morocco,63.62
63,,Nepal,33.59
64,,Netherlands,127.32
65,,New Zealand,118.38
66,,Nigeria,65.58
67,,North Macedonia,82.42
68,,Norway,127.94
69,,Oman,68.32
70,,Pakistan,35.18
71,,Panama,88.24
72,,Peru,80.66
73,,Philippines,62.89
74,,Poland,111.33
75,,Portugal,89.50
76,,Puerto Rico,119.44
77,,Qatar,91.53
78,,Romania,77.27
79,,Russia,98.39
80,,Saudi Arabia,83.53
81,,Serbia,95.16
82,,Singapore,98.43
83,,Slovakia,86.81
84,,Slovenia,96.26
85,,South Africa,69.91
86,,South Korea,106.58
87,,Spain,96.74
88,,Sri Lanka,30.15
89,,Sweden,132.75
90,,Switzerland,159.31
91,,Syria,77.15
92,,Taiwan,113.20
93,,Tanzania,53.25
94,,Thailand,78.53
95,,Trinidad And Tobago,72.09
96,,Tunisia,71.08
97,,Turkey,50.29
98,,Uganda,52.86
99,,Ukraine,96.43
100,,United Arab Emirates,88.31
101,,United Kingdom,80.08
102,,United States,98.76
103,,Uruguay,79.71
104,,Uzbekistan,64.29
105,,Venezuela,95.00
106,,Vietnam,74.36
