,Rank,City,Cappuccino (regular)
0,,Albania,1.29
1,,Argentina,3.31
2,,Australia,3.78
3,,Austria,3.35
4,,Bahrain,3.76
5,,Bangladesh,1.95
6,,Belarus,1.90
7,,Belgium,3.02
8,,Bosnia And Herzegovina,1.26
9,,Brazil,1.92
10,,Bulgaria,1.18
11,,Cambodia,1.94
12,,Canada,3.34
13,,Chile,2.50
14,,China,4.13
15,,Colombia,1.91
16,,Costa Rica,3.13
17,,Croatia,1.52
18,,Cyprus,4.49
19,,Czech Republic,1.73
20,,Denmark,5.37
21,,Dominican Republic,1.30
22,,Ecuador,1.77
23,,Egypt,1.95
24,,Estonia,2.55
25,,Finland,3.71
26,,France,3.19
27,,Georgia,2.13
28,,Germany,2.96
29,,Greece,4.05
30,,Hong Kong,4.10
31,,Hungary,1.36
32,,Iceland,3.41
33,,India,1.12
34,,Indonesia,2.09
35,,Iran,2.77
36,,Iraq,1.39
37,,Ireland,3.39
38,,Israel,3.45
39,,Italy,1.58
40,,Japan,4.58
41,,Jordan,4.06
42,,Kazakhstan,3.24
43,,Kenya,1.74
44,,Kuwait,3.99
45,,Latvia,2.23
46,,Lebanon,3.10
47,,Lithuania,1.81
48,,Luxembourg,3.81
49,,Macedonia,1.42
50,,Malaysia,2.38
51,,Malta,1.94
52,,Mauritius,2.21
53,,Mexico,2.07
54,,Morocco,1.60
55,,Nepal,1.63
56,,Netherlands,2.96
57,,New Zealand,3.24
58,,Nigeria,3.53
59,,Norway,5.34
60,,Oman,2.60
61,,Pakistan,1.70
62,,Peru,2.41
63,,Philippines,2.14
64,,Poland,1.97
65,,Portugal,1.37
66,,Puerto Rico,2.26
67,,Qatar,4.33
68,,Romania,1.61
69,,Russia,3.10
70,,Saudi Arabia,2.46
71,,Serbia,1.42
72,,Singapore,3.82
73,,Slovakia,1.97
74,,Slovenia,1.73
75,,South Africa,1.95
76,,South Korea,3.46
77,,Spain,1.99
78,,Sri Lanka,1.75
79,,Sweden,4.13
80,,Switzerland,4.41
81,,Taiwan,2.27
82,,Tanzania,1.99
83,,Thailand,1.80
84,,Tunisia,1.60
85,,Turkey,2.83
86,,Ukraine,2.01
87,,United Arab Emirates,3.79
88,,United Kingdom,3.53
89,,United States,3.56
90,,Uruguay,3.43
91,,Venezuela,2.99
92,,Vietnam,2.08
