,Rank,City,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)
0,,Argentina,0.37
1,,Australia,0.57
2,,Austria,0.18
3,,Bangladesh,0.03
4,,Belgium,0.36
5,,Bosnia And Herzegovina,0.15
6,,Brazil,0.70
7,,Bulgaria,0.25
8,,Canada,0.32
9,,Chile,0.36
10,,China,0.06
11,,Colombia,0.22
12,,Costa Rica,0.07
13,,Croatia,0.22
14,,Cyprus,0.19
15,,Czech Republic,0.30
16,,Denmark,0.17
17,,Ecuador,0.17
18,,Egypt,0.04
19,,Estonia,0.08
20,,Finland,0.11
21,,France,0.58
22,,Germany,0.17
23,,Greece,0.48
24,,Hong Kong,0.07
25,,Hungary,0.17
26,,Iceland,0.18
27,,India,0.02
28,,Indonesia,0.11
29,,Iran,0.09
30,,Ireland,0.31
31,,Israel,0.21
32,,Italy,0.23
33,,Japan,1.00
34,,Jordan,0.07
35,,Latvia,0.16
36,,Lebanon,0.42
37,,Lithuania,0.15
38,,Macedonia,0.14
39,,Malaysia,0.12
40,,Malta,0.26
41,,Mexico,0.30
42,,Morocco,0.51
43,,Netherlands,0.19
44,,New Zealand,0.47
45,,Norway,0.17
46,,Pakistan,0.03
47,,Panama,0.09
48,,Peru,0.05
49,,Philippines,0.16
50,,Poland,0.12
51,,Portugal,0.28
52,,Puerto Rico,0.38
53,,Qatar,0.17
54,,Romania,0.22
55,,Russia,0.06
56,,Saudi Arabia,0.17
57,,Serbia,0.15
58,,Singapore,0.17
59,,Slovakia,0.17
60,,Slovenia,0.14
61,,South Africa,0.30
62,,South Korea,0.09
63,,Spain,0.34
64,,Sri Lanka,0.06
65,,Sweden,0.11
66,,Switzerland,0.47
67,,Syria,0.14
68,,Taiwan,0.12
69,,Thailand,0.08
70,,Tunisia,0.25
71,,Turkey,0.25
72,,Ukraine,0.08
73,,United Arab Emirates,0.10
74,,United Kingdom,0.30
75,,United States,0.14
76,,Uruguay,0.22
77,,Venezuela,0.52
78,,Vietnam,-
