,Rank,City,Apples (1kg)
0,,Albania,1.01
1,,Algeria,2.03
2,,Argentina,1.37
3,,Armenia,1.05
4,,Australia,3.03
5,,Austria,2.27
6,,Azerbaijan,0.93
7,,Bahrain,2.32
8,,Bangladesh,1.93
9,,Belarus,1.37
10,,Belgium,2.52
11,,Bolivia,2.36
12,,Bosnia And Herzegovina,1.01
13,,Brazil,1.38
14,,Bulgaria,1.31
15,,Cambodia,4.34
16,,Canada,3.05
17,,Chile,1.48
18,,China,1.72
19,,Colombia,2.02
20,,Costa Rica,4.16
21,,Croatia,1.56
22,,Cyprus,2.27
23,,Czech Republic,1.50
24,,Denmark,2.74
25,,Dominican Republic,1.99
26,,Ecuador,1.92
27,,Egypt,1.53
28,,Estonia,1.64
29,,Finland,2.44
30,,France,2.95
31,,Georgia,1.02
32,,Germany,2.70
33,,Ghana,2.69
34,,Greece,1.75
35,,Guatemala,3.07
36,,Hong Kong,3.97
37,,Hungary,1.59
38,,Iceland,2.37
39,,India,1.94
40,,Indonesia,2.65
41,,Iran,1.37
42,,Iraq,1.21
43,,Ireland,2.44
44,,Israel,3.09
45,,Italy,2.03
46,,Japan,6.20
47,,Jordan,2.07
48,,Kazakhstan,1.38
49,,Kenya,2.20
50,,Kosovo (Disputed Territory),0.72
51,,Kuwait,2.07
52,,Latvia,1.27
53,,Lebanon,3.08
54,,Lithuania,1.21
55,,Luxembourg,2.77
56,,Malaysia,2.39
57,,Malta,2.90
58,,Mauritius,2.51
59,,Mexico,1.82
60,,Moldova,0.85
61,,Montenegro,1.02
62,,Morocco,1.16
63,,Nepal,2.03
64,,Netherlands,2.13
65,,New Zealand,2.44
66,,Nigeria,2.80
67,,North Macedonia,0.88
68,,Norway,3.07
69,,Oman,2.19
70,,Pakistan,0.99
71,,Panama,3.33
72,,Peru,1.52
73,,Philippines,2.64
74,,Poland,0.97
75,,Portugal,1.71
76,,Puerto Rico,6.49
77,,Qatar,1.84
78,,Romania,1.04
79,,Russia,1.47
80,,Saudi Arabia,1.85
81,,Serbia,0.94
82,,Singapore,3.27
83,,Slovakia,1.73
84,,Slovenia,1.78
85,,South Africa,1.38
86,,South Korea,6.48
87,,Spain,2.04
88,,Sri Lanka,2.85
89,,Sweden,2.96
90,,Switzerland,4.01
91,,Syria,1.04
92,,Taiwan,4.14
93,,Tanzania,3.16
94,,Thailand,2.87
95,,Trinidad And Tobago,4.62
96,,Tunisia,1.53
97,,Turkey,0.88
98,,Uganda,3.12
99,,Ukraine,0.89
100,,United Arab Emirates,2.03
101,,United Kingdom,2.21
102,,United States,4.50
103,,Uruguay,1.87
104,,Uzbekistan,1.39
105,,Venezuela,5.17
106,,Vietnam,2.68
